iteration,total_transactions_amount,transactions_count,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
1,1118.34,194,0.23473,11.18,47.61,81.69,116.89,148.18,174.46,215.80,113418.22,749,5.27,0.00,1.05,3.36,5.16,7.72,9.09,10.00
2,2002.34,254,0.27239,11.18,48.18,95.94,162.67,213.03,247.04,300.02,154197.94,747,5.28,0.00,1.02,3.37,5.14,7.71,9.09,10.00
3,1246.92,141,0.29346,11.18,48.18,97.68,189.80,258.03,301.92,383.71,180995.94,741,5.26,0.00,0.24,3.36,5.14,7.69,9.06,10.00
4,1947.64,189,0.30524,11.18,48.18,97.68,210.66,288.60,337.60,413.36,199972.85,739,5.26,0.00,0.29,3.39,5.13,7.69,9.06,10.00
5,1887.68,168,0.31293,11.18,48.43,98.31,223.31,307.71,364.48,453.49,212567.74,735,5.26,0.00,0.32,3.40,5.14,7.71,9.07,10.00
6,2181.43,199,0.31807,11.18,48.43,97.68,232.95,320.46,379.95,464.68,221190.74,731,5.25,0.00,0.38,3.40,5.13,7.70,9.07,10.00
7,1776.60,144,0.32135,11.18,48.43,97.68,236.79,328.50,390.27,517.52,227103.10,729,5.25,0.00,0.42,3.42,5.15,7.69,9.07,10.00
8,2002.64,158,0.32448,11.18,48.55,97.24,240.10,336.27,398.96,513.32,230451.20,729,5.23,0.00,0.45,3.42,5.15,7.67,9.07,10.00
9,1965.12,157,0.32467,11.18,50.00,97.51,243.33,342.05,404.64,510.53,233937.25,728,5.25,0.00,0.49,3.44,5.17,7.68,9.07,10.00
10,2347.65,184,0.32679,11.18,50.85,96.94,245.04,343.48,408.08,526.71,234959.66,724,5.24,0.00,0.53,3.45,5.15,7.67,9.07,10.00
11,2014.09,163,0.32729,11.18,50.65,96.28,245.81,346.40,409.28,508.30,235298.43,721,5.22,0.00,0.56,3.46,5.13,7.65,9.07,10.00
12,1943.53,146,0.32727,11.18,51.09,97.51,243.68,347.59,410.74,503.63,236578.56,722,5.23,0.00,0.60,3.48,5.14,7.66,9.04,10.00
13,2280.63,179,0.32772,11.18,51.16,98.03,244.19,346.21,411.97,506.06,236985.12,721,5.23,0.00,0.64,3.48,5.16,7.67,9.05,10.00
14,2518.27,194,0.32781,11.18,51.16,98.60,245.87,350.24,412.25,514.23,237640.45,722,5.24,0.00,0.69,3.52,5.16,7.66,9.05,10.00
15,2369.56,187,0.32765,11.18,51.16,99.07,247.42,349.65,415.28,549.68,237796.14,721,5.24,0.00,0.73,3.53,5.16,7.67,9.05,10.00
16,2869.73,248,0.32714,11.18,51.37,99.29,250.75,350.73,418.07,535.85,238596.17,721,5.25,0.00,0.78,3.55,5.19,7.68,9.05,10.00
17,2079.69,170,0.32777,11.18,51.37,99.29,250.62,349.12,419.33,526.34,238511.08,718,5.26,0.00,0.82,3.59,5.21,7.68,9.06,10.00
18,2141.78,178,0.32900,11.18,51.49,99.84,244.18,346.63,418.06,537.11,237284.65,714,5.25,0.00,0.85,3.58,5.22,7.68,9.06,10.00
19,1923.23,156,0.32837,11.18,51.53,103.55,243.81,345.07,411.96,525.69,236183.98,711,5.24,0.00,0.88,3.59,5.18,7.68,9.06,10.00
20,2384.21,184,0.32719,11.18,51.85,103.77,247.15,344.71,415.80,518.30,236890.95,711,5.26,0.00,0.93,3.61,5.21,7.70,9.06,10.00
21,2054.02,174,0.32794,11.18,51.85,99.84,243.01,342.61,416.97,514.72,235629.16,706,5.24,0.00,0.96,3.60,5.21,7.66,9.05,10.00
22,1876.32,148,0.32948,11.18,51.85,99.43,244.51,344.49,415.53,568.70,235409.65,704,5.23,0.00,0.99,3.55,5.19,7.65,9.04,10.00
23,1815.59,143,0.32892,11.18,52.19,99.84,242.18,345.29,416.39,567.28,236023.57,704,5.25,0.00,1.02,3.57,5.20,7.67,9.04,10.00
24,2106.75,170,0.32905,11.18,52.19,99.84,240.17,347.61,415.17,549.51,236068.62,703,5.27,0.00,1.07,3.57,5.22,7.68,9.05,10.00
25,2233.70,186,0.32994,11.18,52.19,99.29,239.52,346.63,413.29,525.22,234135.75,702,5.24,0.00,1.10,3.40,5.21,7.66,9.04,10.00
26,2026.22,161,0.32992,11.18,53.47,99.50,239.79,346.42,411.72,532.00,233370.50,699,5.24,0.00,1.14,3.38,5.21,7.65,9.05,10.00
27,1964.85,162,0.32960,11.18,53.79,100.68,242.12,345.15,410.81,525.22,233941.81,699,5.25,0.00,1.17,3.39,5.24,7.66,9.05,10.00
28,2334.68,182,0.32903,11.18,53.79,103.91,241.98,346.22,411.01,525.22,233477.57,696,5.25,0.00,1.18,3.33,5.22,7.62,9.03,10.00
29,2101.06,177,0.32870,11.18,53.79,103.91,241.81,346.01,409.28,525.22,233922.97,696,5.27,0.00,1.22,3.34,5.22,7.62,9.04,10.00
30,1868.08,141,0.32813,11.18,53.82,104.94,242.39,344.75,410.17,529.58,233863.22,694,5.28,0.00,1.26,3.34,5.25,7.63,9.02,10.00
31,2167.62,164,0.32787,11.18,53.82,107.30,241.67,345.60,412.94,525.22,234268.60,696,5.30,0.00,1.30,3.37,5.27,7.65,9.02,10.00
32,2126.43,172,0.32809,11.18,53.82,107.30,239.28,345.31,411.01,525.22,233221.24,696,5.29,0.00,1.31,3.33,5.25,7.65,9.00,10.00
33,1623.51,131,0.32781,11.18,54.35,106.29,240.17,344.64,408.27,525.22,232826.79,694,5.29,0.00,1.35,3.32,5.25,7.64,9.01,10.00
34,2026.18,162,0.32750,11.18,54.76,107.73,239.91,343.43,410.52,525.22,232454.35,691,5.29,0.00,1.39,3.30,5.25,7.64,9.01,10.00
