iteration,total_transactions_amount,transactions_count,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
1,17851.34,1119,0.26592,10.03,43.37,72.91,109.87,150.47,181.52,327.45,112065.28,765,5.44,0.00,1.37,3.41,5.63,7.73,9.15,9.99
2,24629.58,1132,0.30782,10.03,43.51,84.19,148.44,211.56,262.55,387.05,149828.57,761,5.41,0.00,1.16,3.39,5.62,7.71,9.15,9.99
3,27359.73,1094,0.33025,10.03,43.69,89.32,172.64,250.37,315.43,539.16,176335.28,759,5.41,0.00,1.03,3.42,5.60,7.71,9.16,9.99
4,28541.03,1013,0.34677,10.03,43.69,91.39,181.01,279.45,356.17,532.94,193657.34,753,5.40,0.00,0.84,3.41,5.59,7.72,9.16,9.99
5,30847.52,1073,0.35549,10.03,43.65,88.63,198.22,299.41,382.51,640.11,205265.37,749,5.39,0.00,0.66,3.42,5.60,7.71,9.16,9.99
6,32243.23,1077,0.36150,10.03,43.69,90.04,198.47,311.00,396.85,749.05,211403.20,742,5.37,0.00,0.38,3.43,5.55,7.68,9.16,9.99
7,28721.45,949,0.36657,10.03,43.69,89.90,205.76,320.92,416.53,722.39,216631.49,738,5.36,0.00,0.43,3.43,5.52,7.68,9.16,9.99
8,30793.28,952,0.36781,10.03,43.93,90.28,206.59,319.11,421.97,674.67,218723.25,735,5.34,0.00,0.45,3.43,5.48,7.67,9.17,9.99
9,31997.99,1001,0.37173,10.03,43.69,90.28,205.44,323.06,431.70,639.98,220092.43,730,5.32,0.00,0.48,3.44,5.48,7.66,9.15,9.99
10,30527.76,966,0.36737,10.03,43.69,90.04,217.99,328.58,423.19,643.15,221094.14,726,5.30,0.00,0.52,3.45,5.46,7.64,9.14,9.99
11,28542.88,900,0.36577,10.03,43.70,89.65,217.20,325.76,426.96,693.98,221813.43,724,5.30,0.00,0.56,3.47,5.42,7.64,9.15,9.99
12,33260.61,1008,0.36749,10.03,44.14,89.32,212.74,335.49,422.83,671.29,223126.59,723,5.32,0.00,0.61,3.48,5.46,7.65,9.16,9.99
13,31471.75,987,0.36903,10.03,44.14,90.28,213.08,326.73,423.52,663.36,221811.54,716,5.28,0.00,0.62,3.46,5.39,7.65,9.13,9.99
14,32773.81,997,0.37228,10.03,43.69,91.39,210.51,321.79,428.76,766.59,221222.45,712,5.28,0.00,0.64,3.44,5.39,7.64,9.12,9.99
15,29807.88,958,0.37915,10.03,44.78,90.14,199.98,325.74,430.68,775.35,219465.37,702,5.23,0.00,0.66,3.30,5.34,7.64,9.11,9.99
16,30088.18,951,0.37663,10.03,44.14,90.28,200.80,325.50,440.20,775.35,219448.11,698,5.22,0.00,0.68,3.27,5.34,7.64,9.12,9.99
17,29820.33,913,0.37872,10.03,43.93,89.83,199.28,325.07,431.22,775.35,219211.49,697,5.21,0.00,0.73,3.26,5.34,7.64,9.12,9.99
18,28860.06,918,0.37960,10.03,43.93,90.96,197.79,324.98,427.24,775.35,218568.69,692,5.20,0.00,0.74,3.22,5.32,7.64,9.12,9.99
19,29200.78,920,0.37974,10.03,44.14,90.99,198.17,324.00,425.30,775.35,218491.94,688,5.21,0.00,0.79,3.21,5.35,7.65,9.13,9.99
20,27355.26,882,0.37856,10.03,44.14,88.03,199.28,322.10,425.82,775.35,219489.24,688,5.22,0.00,0.85,3.24,5.36,7.66,9.12,9.99
21,26569.78,822,0.37757,10.03,44.78,90.68,202.05,330.86,424.42,775.35,219979.08,688,5.24,0.00,0.86,3.19,5.36,7.68,9.13,9.99
22,29629.83,923,0.37833,10.03,45.39,90.14,197.05,327.72,428.52,775.35,218803.06,686,5.23,0.00,0.89,3.12,5.37,7.67,9.13,9.99
23,27251.49,865,0.37685,10.03,46.16,89.47,199.28,325.03,424.71,775.35,217798.76,681,5.21,0.00,0.91,3.10,5.37,7.64,9.13,9.99
24,27194.55,856,0.37653,10.03,46.16,88.63,198.96,320.97,417.97,775.35,216403.91,680,5.20,0.00,0.93,3.04,5.36,7.62,9.13,9.99
25,28065.65,891,0.37612,10.03,45.98,88.71,199.80,315.55,411.33,775.35,215188.84,677,5.19,0.00,0.96,2.97,5.36,7.63,9.14,9.99
26,28890.50,940,0.38142,10.03,45.98,88.63,194.03,321.46,414.59,775.35,215287.96,675,5.21,0.00,1.00,2.98,5.38,7.62,9.15,9.99
27,26554.74,840,0.38133,10.03,46.16,88.27,188.92,320.44,419.77,811.10,215758.20,675,5.22,0.00,1.01,2.99,5.40,7.64,9.15,9.99
28,26208.94,845,0.37615,10.03,46.36,89.32,196.46,320.05,419.68,775.35,216523.47,675,5.24,0.00,1.04,3.00,5.42,7.64,9.15,9.99
29,23862.22,750,0.37757,10.03,46.70,90.14,198.41,322.01,422.80,791.62,217061.10,676,5.24,0.00,1.07,3.01,5.42,7.65,9.15,9.99
30,24442.17,769,0.37441,10.03,46.70,91.09,199.28,325.45,417.19,775.35,217414.41,674,5.25,0.00,1.11,3.02,5.45,7.66,9.16,9.99
31,24297.91,758,0.37301,10.03,46.70,91.39,201.45,326.70,416.39,914.00,218370.58,675,5.28,0.02,1.15,3.05,5.46,7.68,9.17,9.99
32,30133.83,938,0.37899,10.03,46.36,90.04,195.54,320.80,425.50,775.35,217498.19,675,5.29,0.00,1.19,3.05,5.46,7.66,9.17,9.99
33,23536.48,748,0.37507,10.03,46.70,90.99,199.28,321.27,422.47,775.35,217814.85,673,5.28,0.00,1.18,3.06,5.45,7.66,9.13,9.99
34,25237.09,800,0.37553,10.03,46.27,90.99,200.41,325.52,429.32,775.35,217772.87,673,5.29,0.00,1.22,3.05,5.47,7.67,9.13,9.99
35,28038.10,880,0.37977,10.03,46.36,91.20,198.78,321.98,425.26,775.35,218151.75,675,5.32,0.01,1.27,3.07,5.50,7.69,9.14,9.99
36,27619.78,898,0.37354,10.03,47.24,91.22,199.28,322.24,424.66,775.35,217289.59,672,5.31,0.00,1.29,3.07,5.48,7.67,9.13,9.99
37,25567.89,807,0.37399,10.03,48.69,92.13,196.65,326.78,422.90,775.35,217015.74,669,5.31,0.00,1.30,3.03,5.45,7.66,9.13,9.99
38,26105.08,808,0.37281,10.03,47.99,91.39,196.69,317.32,412.52,775.35,215107.45,665,5.29,0.00,1.27,2.83,5.43,7.66,9.13,9.99
39,22825.84,716,0.37176,10.03,48.69,92.76,199.63,317.00,408.63,794.87,216134.64,665,5.31,0.00,1.29,2.86,5.45,7.67,9.13,9.99
40,24729.30,775,0.37381,10.03,48.69,91.79,198.12,319.93,417.36,775.35,216604.29,663,5.32,0.00,1.32,2.81,5.47,7.68,9.14,9.99
41,26260.87,811,0.37746,10.03,48.69,91.75,197.40,317.61,424.37,775.35,216178.83,660,5.32,0.00,1.35,2.78,5.46,7.68,9.14,9.99
42,26358.32,831,0.37603,10.03,49.01,91.39,194.32,319.64,421.66,775.35,216422.63,659,5.34,0.00,1.37,2.78,5.47,7.70,9.14,9.99
