iteration,total_transactions_amount,transactions_count,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
1,502.74,167,0.21189,10.26,33.41,51.25,70.62,89.14,102.95,133.37,69630.31,721,5.59,0.00,0.05,4.09,5.76,8.12,9.30,9.99
2,616.37,163,0.21052,10.26,38.98,61.00,84.22,102.84,118.92,156.16,81315.77,718,5.58,0.00,0.08,4.10,5.74,8.12,9.30,9.99
3,840.09,184,0.22477,10.26,38.83,65.79,92.63,117.08,134.43,174.45,90173.30,714,5.55,0.00,0.11,4.03,5.69,8.12,9.31,9.99
4,929.08,199,0.23868,10.26,38.22,68.77,98.37,128.06,150.29,190.21,97123.27,710,5.52,0.00,0.14,3.93,5.69,8.11,9.31,9.99
5,921.96,174,0.25061,10.26,37.46,71.60,102.89,138.42,162.71,203.34,102782.79,708,5.51,0.00,0.16,3.82,5.69,8.11,9.31,9.99
6,771.08,146,0.25878,10.26,38.02,72.28,106.76,146.67,172.12,214.18,107396.44,706,5.51,0.00,0.19,3.79,5.70,8.11,9.31,9.99
7,1179.21,208,0.26885,10.26,37.46,72.31,109.52,151.22,179.52,237.90,110151.11,701,5.48,0.00,0.21,3.60,5.70,8.11,9.30,9.99
8,1162.11,205,0.27541,10.26,36.91,72.41,111.37,155.18,184.91,256.91,112643.85,699,5.47,0.00,0.23,3.54,5.69,8.11,9.29,9.99
9,1218.24,202,0.27964,10.26,36.91,73.41,113.58,158.73,190.37,255.37,114950.39,699,5.47,0.00,0.26,3.54,5.70,8.11,9.30,9.99
10,1089.10,186,0.28309,10.26,36.15,74.03,116.39,162.22,194.02,263.78,116841.45,698,5.47,0.00,0.28,3.55,5.71,8.11,9.30,9.99
11,1012.45,177,0.28547,10.26,36.91,74.20,118.24,165.31,197.49,260.98,118288.93,697,5.47,0.00,0.31,3.53,5.72,8.11,9.30,9.99
12,1163.92,191,0.28797,10.26,37.27,73.64,119.06,166.36,200.90,258.78,119395.84,695,5.47,0.00,0.33,3.50,5.72,8.11,9.30,9.99
13,1223.81,186,0.29006,10.26,36.91,73.05,120.51,165.96,203.53,264.77,119786.50,692,5.44,0.00,0.35,3.45,5.73,8.10,9.30,9.99
14,782.17,124,0.29064,10.26,36.08,73.05,120.86,167.95,203.58,265.61,120467.68,691,5.44,0.00,0.38,3.45,5.72,8.10,9.30,9.99
15,1185.05,193,0.29257,10.26,35.46,72.41,120.36,168.73,204.81,266.33,120970.11,690,5.44,0.00,0.41,3.42,5.73,8.11,9.30,9.99
16,1197.12,197,0.29399,10.26,35.46,71.29,119.30,169.60,204.84,266.96,120635.32,686,5.41,0.00,0.42,3.25,5.70,7.96,9.30,9.99
17,1014.64,163,0.29426,10.26,36.91,70.65,118.98,168.72,205.12,264.16,120516.29,682,5.40,0.00,0.45,3.20,5.70,7.96,9.29,9.99
18,1153.57,169,0.29432,10.26,36.91,70.88,116.87,167.86,204.05,262.49,120043.27,678,5.37,0.00,0.46,3.15,5.68,7.95,9.29,9.99
19,1299.36,191,0.29508,10.26,36.91,70.21,117.84,168.25,204.72,274.05,120017.34,677,5.36,0.00,0.49,3.11,5.65,7.94,9.28,9.99
20,1071.74,175,0.29587,10.26,36.91,70.53,118.90,169.98,205.52,270.14,119960.43,676,5.35,0.00,0.51,3.05,5.65,7.94,9.28,9.99
21,964.21,154,0.29562,10.26,36.91,71.09,118.32,170.56,206.02,270.31,120016.21,674,5.35,0.00,0.53,3.06,5.65,7.93,9.28,9.99
22,1084.09,175,0.29667,10.26,36.08,69.91,119.95,168.02,205.54,272.17,119892.42,671,5.34,0.00,0.55,2.98,5.64,7.92,9.28,9.99
23,966.12,157,0.29719,10.26,36.08,69.44,119.97,169.37,205.23,279.44,119956.66,671,5.34,0.00,0.58,3.00,5.66,7.92,9.28,9.99
24,1219.42,196,0.29791,10.26,36.91,69.40,118.11,169.49,202.62,275.58,119796.48,670,5.33,0.00,0.60,2.93,5.66,7.93,9.28,9.99
25,914.53,149,0.29838,10.26,36.91,68.73,119.05,168.80,202.56,275.99,119826.78,668,5.33,0.00,0.62,2.93,5.66,7.94,9.28,9.99
26,1150.38,182,0.29926,10.26,36.91,68.94,118.42,170.72,204.60,272.61,119812.08,667,5.33,0.00,0.63,2.90,5.66,7.94,9.28,9.99
27,994.58,159,0.29928,10.26,36.91,68.80,118.31,170.06,205.11,269.96,119968.72,667,5.33,0.00,0.67,2.88,5.66,7.93,9.29,9.99
28,1054.20,164,0.29894,10.26,36.91,68.49,117.51,168.02,204.02,268.32,119580.23,664,5.32,0.00,0.69,2.80,5.66,7.91,9.27,9.99
29,754.69,124,0.29859,10.26,36.91,68.68,120.39,167.85,203.44,268.26,119764.25,665,5.33,0.00,0.70,2.82,5.67,7.92,9.28,9.99
30,1090.69,168,0.29888,10.26,36.91,67.96,119.82,169.57,202.42,266.42,119662.49,665,5.32,0.00,0.73,2.80,5.68,7.92,9.28,9.99
31,1013.34,164,0.29922,10.26,36.91,67.61,118.13,169.87,202.25,265.00,119367.72,665,5.31,0.00,0.75,2.67,5.63,7.84,9.27,9.99
32,827.07,136,0.29928,10.26,36.91,67.61,117.99,169.90,201.55,263.92,119283.92,664,5.31,0.00,0.77,2.68,5.64,7.84,9.26,9.99
33,847.33,134,0.29943,10.26,36.91,67.74,117.93,168.80,202.05,268.81,119415.29,665,5.32,0.00,0.79,2.69,5.64,7.84,9.26,9.99
34,831.70,124,0.29931,10.26,36.91,68.68,118.16,169.82,201.63,269.63,119762.77,666,5.33,0.02,0.81,2.72,5.66,7.85,9.26,9.99
35,801.30,135,0.29849,10.26,36.91,68.68,117.71,170.82,202.06,262.09,119390.43,664,5.32,0.00,0.83,2.66,5.66,7.85,9.24,9.99
36,946.30,145,0.29965,10.26,37.27,67.74,116.96,170.24,202.91,261.81,119104.58,663,5.31,0.00,0.85,2.60,5.66,7.84,9.21,9.99
37,1066.53,172,0.30042,10.26,37.27,67.74,118.09,171.94,203.36,265.87,119207.67,662,5.32,0.00,0.88,2.61,5.64,7.85,9.22,9.99
38,999.48,161,0.30075,10.26,37.27,67.36,116.14,171.14,204.91,264.81,119044.69,660,5.32,0.00,0.90,2.58,5.65,7.85,9.19,9.99
39,984.85,159,0.30082,10.26,37.27,67.50,116.11,169.17,204.07,264.02,119141.12,659,5.32,0.00,0.92,2.59,5.64,7.86,9.19,9.99
40,700.90,113,0.30141,10.26,37.27,67.48,116.31,168.61,204.72,270.32,118848.35,656,5.30,0.00,0.93,2.57,5.65,7.85,9.19,9.99
41,950.50,139,0.30169,10.26,37.27,67.57,115.60,168.65,204.98,273.35,118353.82,652,5.29,0.00,0.95,2.53,5.65,7.85,9.19,9.99
42,757.82,116,0.30111,10.26,37.27,67.74,116.00,169.20,204.87,277.78,118482.02,651,5.29,0.00,0.97,2.50,5.65,7.84,9.19,9.99
43,910.08,146,0.30115,10.26,37.27,66.83,115.43,169.45,203.83,277.78,118139.56,649,5.28,0.00,0.98,2.45,5.63,7.84,9.19,9.99
44,777.05,127,0.30144,10.26,37.27,67.00,115.98,168.67,204.07,277.78,118059.60,647,5.27,0.00,1.00,2.45,5.62,7.85,9.19,9.99
