iteration,total_transactions_amount,transactions_count,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
39,27735.59,884,0.29343,11.02,89.15,151.94,226.78,316.87,424.88,761.47,243588.89,649,5.35,0.00,1.57,2.99,5.37,7.73,9.09,9.99
40,25736.83,796,0.29277,11.02,87.94,150.13,228.87,311.22,417.03,761.47,242640.13,648,5.35,0.00,1.58,2.90,5.35,7.72,9.09,9.99
41,25433.16,807,0.29188,11.02,89.84,151.02,228.46,310.53,424.94,761.47,242881.78,651,5.35,0.00,1.59,2.87,5.34,7.72,9.09,9.99
42,25561.27,820,0.29309,11.02,89.52,150.21,224.39,316.63,420.37,761.47,243089.31,651,5.36,0.00,1.61,2.85,5.32,7.72,9.09,9.99
43,25105.79,781,0.29142,11.02,92.21,152.14,226.98,312.07,426.59,788.76,243961.83,649,5.37,0.00,1.64,2.86,5.32,7.72,9.09,9.99
44,24837.30,782,0.28635,11.02,93.08,154.97,229.68,309.78,422.61,761.47,242919.97,646,5.36,0.00,1.67,2.82,5.29,7.70,9.10,9.99
45,26040.55,812,0.28973,11.02,89.91,152.14,228.46,310.40,418.15,761.47,242950.89,647,5.37,0.00,1.72,2.85,5.30,7.68,9.07,9.99
46,24401.59,778,0.28837,11.02,89.41,148.92,228.12,309.20,420.57,761.47,241537.34,644,5.35,0.00,1.73,2.81,5.32,7.69,9.08,9.99
47,22413.54,728,0.29128,11.02,90.75,148.50,225.60,313.68,414.10,789.33,240985.58,640,5.34,0.00,1.68,2.77,5.32,7.68,9.09,9.99
48,23066.00,742,0.28791,11.02,96.03,148.50,226.70,307.03,416.99,761.47,241785.57,639,5.35,0.00,1.66,2.75,5.33,7.69,9.09,9.99
49,24145.50,759,0.28725,11.02,92.47,151.49,232.18,306.81,407.97,761.47,242421.55,638,5.36,0.00,1.68,2.77,5.35,7.70,9.10,9.99
50,25338.98,791,0.29009,11.02,90.75,148.53,230.52,317.03,418.74,926.52,242311.12,638,5.37,0.00,1.70,2.74,5.37,7.71,9.10,9.99
51,24493.73,765,0.28430,11.02,92.75,152.14,232.77,315.42,408.18,926.52,242563.25,638,5.38,0.00,1.71,2.74,5.38,7.72,9.10,9.99
52,24306.66,777,0.28315,11.02,93.47,151.35,233.53,310.88,407.19,926.52,242436.42,636,5.39,0.00,1.68,2.72,5.39,7.72,9.11,9.99
