iteration,total_transactions_amount,transactions_count,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
39,518.84,90,0.36620,9.58,26.53,41.84,86.76,151.90,197.95,314.01,100620.46,503,4.25,0.01,0.85,0.97,4.67,7.14,8.83,9.99
40,532.14,87,0.36630,9.58,26.53,41.84,86.76,152.94,198.08,314.01,100631.64,504,4.26,0.00,0.87,1.00,4.68,7.13,8.81,9.99
41,534.51,86,0.36623,9.58,26.53,41.84,86.76,153.27,198.43,314.01,100636.45,505,4.27,0.00,0.89,1.03,4.68,7.13,8.81,9.99
42,557.04,88,0.36634,9.58,26.53,41.84,86.45,152.62,197.08,314.01,100893.56,505,4.29,0.04,0.91,1.05,4.70,7.14,8.81,9.99
43,554.29,89,0.36572,9.58,26.53,41.87,87.10,152.47,196.06,314.01,100900.29,504,4.28,0.00,0.94,1.07,4.67,7.13,8.81,9.99
44,531.73,83,0.36606,9.58,26.53,41.87,87.24,152.68,196.98,314.01,101155.70,504,4.30,0.01,0.96,1.10,4.70,7.14,8.82,9.99
45,365.04,66,0.36619,9.58,26.53,41.87,87.24,152.70,198.11,314.01,101401.94,508,4.32,0.05,0.98,1.12,4.72,7.15,8.82,9.99
46,508.10,81,0.36634,9.58,26.53,41.87,87.24,153.83,197.24,314.01,101624.47,510,4.32,0.00,0.99,1.15,4.71,7.14,8.82,9.99
47,596.72,90,0.36552,9.58,27.06,41.93,87.24,153.06,197.65,314.01,101382.26,507,4.32,0.00,1.01,1.17,4.60,7.14,8.83,9.99
48,486.80,82,0.36532,9.58,27.06,41.93,86.81,153.40,198.44,314.01,101118.84,505,4.32,0.00,1.03,1.19,4.61,7.13,8.81,9.99
49,666.54,106,0.36568,9.58,27.06,42.15,86.91,153.91,198.23,314.01,101364.07,506,4.33,0.04,1.05,1.22,4.62,7.15,8.81,9.99
50,414.14,66,0.36586,9.58,27.06,42.55,86.92,153.76,198.81,314.01,101384.87,504,4.33,0.00,1.07,1.24,4.61,7.13,8.82,9.99
51,586.51,94,0.36601,9.58,27.06,42.55,86.15,153.32,198.67,314.01,101144.03,502,4.33,0.00,1.09,1.26,4.58,7.13,8.81,9.99
52,490.82,79,0.36636,9.58,27.06,42.55,86.76,154.29,200.28,314.01,101392.63,504,4.35,0.04,1.11,1.29,4.60,7.15,8.82,9.99
53,437.39,71,0.36601,9.58,27.06,42.55,86.81,154.63,199.21,314.01,101375.41,506,4.35,0.00,1.13,1.31,4.59,7.15,8.79,9.99
54,548.06,90,0.36564,9.58,27.06,42.60,87.36,154.69,199.27,314.01,101608.19,506,4.36,0.00,1.16,1.33,4.57,7.14,8.79,9.99
55,522.95,85,0.36585,9.58,27.06,42.55,87.78,153.71,200.13,314.01,101614.57,506,4.37,0.00,1.19,1.36,4.54,7.15,8.79,9.99
56,379.93,63,0.36472,9.58,27.16,42.65,88.04,153.55,198.81,314.01,101652.26,504,4.37,0.00,1.21,1.38,4.51,7.15,8.79,9.99
57,502.58,85,0.36456,9.58,27.37,42.65,87.17,153.83,198.57,314.01,101631.29,503,4.38,0.00,1.22,1.40,4.52,7.16,8.78,9.99
58,656.07,108,0.36428,9.58,27.37,43.19,87.28,154.52,199.47,314.01,101864.51,502,4.38,0.00,1.24,1.43,4.52,7.17,8.78,9.99
59,527.12,91,0.36369,9.58,27.37,43.04,87.79,153.83,198.32,314.01,101641.69,501,4.38,0.00,1.25,1.45,4.39,7.17,8.79,9.99
60,553.01,87,0.36276,9.58,27.37,43.21,88.04,153.62,198.04,314.01,101669.72,500,4.39,0.00,1.27,1.47,4.36,7.18,8.79,9.99
61,466.31,80,0.36231,9.58,27.48,43.23,88.01,154.29,198.85,314.01,101608.16,497,4.38,0.00,1.29,1.50,4.30,7.18,8.79,9.99
62,459.79,79,0.36242,9.58,27.48,43.23,87.09,153.55,198.66,314.01,101408.88,496,4.38,0.00,1.31,1.52,4.26,7.18,8.79,9.99
63,546.03,91,0.36233,9.58,27.48,43.23,87.46,154.27,198.59,314.01,101667.50,497,4.39,0.02,1.33,1.54,4.28,7.19,8.80,9.99
64,512.13,83,0.36231,9.58,27.61,43.32,87.10,153.83,198.65,314.01,101917.06,498,4.41,0.05,1.35,1.56,4.31,7.19,8.80,9.99
65,574.22,92,0.36067,9.58,27.73,43.71,87.80,152.99,197.93,314.01,101945.29,496,4.40,0.00,1.35,1.58,4.27,7.19,8.80,9.99
66,466.40,78,0.36004,9.58,27.76,43.76,88.04,152.75,198.55,314.01,102004.85,497,4.41,0.00,1.37,1.60,4.23,7.20,8.80,9.99
67,578.60,97,0.36008,9.58,27.76,43.90,87.92,153.55,199.15,314.01,102258.04,498,4.43,0.02,1.39,1.63,4.25,7.21,8.80,9.99
68,421.25,69,0.35994,9.58,27.76,43.90,87.18,153.55,196.85,314.01,102277.74,498,4.43,0.00,1.41,1.65,4.23,7.21,8.81,9.99
