iteration,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents
76,0.25038,7.81,17.98,28.90,49.45,64.29,74.18,97.98,47853.14,681
77,0.25125,7.81,17.97,28.39,48.97,64.14,74.18,97.98,47749.96,679
78,0.25101,7.81,17.97,28.74,48.96,64.24,74.40,97.98,47834.80,679
79,0.25089,7.81,17.97,28.79,49.12,64.41,74.36,97.98,47732.85,677
80,0.25072,7.81,17.97,28.89,49.61,64.56,74.19,97.98,47746.25,678
81,0.25188,7.81,17.97,28.69,49.22,64.23,74.05,97.98,47669.39,678
82,0.25125,7.81,17.97,28.75,49.29,64.49,74.12,97.98,47714.31,678
83,0.25205,7.81,17.97,28.69,49.38,64.33,74.26,97.98,47766.83,678
84,0.25266,7.81,17.96,28.68,49.40,64.32,74.19,97.98,47663.79,676
85,0.25216,7.81,17.96,28.98,49.40,64.84,74.23,97.98,47754.90,678
86,0.25129,7.81,17.96,28.98,49.40,64.54,74.13,97.98,47714.87,679
87,0.25259,7.81,17.96,28.52,49.43,64.73,74.27,97.98,47661.63,679
88,0.25296,7.81,17.94,28.62,49.52,64.55,74.44,97.98,47606.06,679
89,0.25298,7.81,17.94,28.30,49.48,64.75,74.19,97.98,47585.59,678
90,0.25340,7.81,17.94,28.24,49.26,64.14,74.13,97.98,47422.00,676
91,0.25526,7.81,17.68,27.99,48.90,63.75,74.04,97.98,47117.10,672
92,0.25580,7.81,17.76,28.17,48.78,64.08,74.26,97.98,47263.30,674
93,0.25563,7.81,17.76,27.65,49.20,64.36,74.37,97.98,47264.18,674
94,0.25498,7.81,17.94,27.72,49.45,64.12,74.53,97.98,47340.10,674
95,0.25521,7.81,17.94,28.00,49.22,64.04,74.50,97.98,47316.28,675
96,0.25606,7.81,17.94,27.90,49.49,64.02,74.47,97.98,47329.23,675
97,0.25579,7.81,17.76,27.69,49.35,64.07,74.50,97.98,47211.78,673
98,0.25667,7.81,17.68,27.69,49.06,63.84,74.37,97.98,47068.92,670
99,0.25758,7.81,17.59,27.27,48.78,64.00,74.50,97.98,47016.64,670
100,0.25677,7.81,17.59,27.27,48.92,63.90,74.17,97.98,46963.77,670
101,0.25791,7.81,17.59,27.25,48.88,64.04,74.25,97.98,46978.33,671
102,0.25877,7.81,17.50,26.48,49.05,63.60,74.33,97.98,46859.50,669
103,0.25951,7.81,17.50,26.40,48.47,63.97,74.30,97.98,46783.13,667
104,0.25901,7.81,17.50,26.50,48.94,63.66,74.20,97.98,46799.47,667
105,0.25946,7.81,17.50,26.38,49.14,63.44,73.75,97.98,46613.89,664
106,0.26106,7.81,17.47,26.23,48.72,63.28,74.07,97.98,46503.34,662
107,0.26082,7.81,17.47,26.23,48.74,63.51,74.16,97.98,46567.67,663
108,0.26236,7.81,17.34,25.49,48.55,63.89,74.12,97.98,46370.14,661
109,0.26213,7.81,17.34,25.44,48.62,63.68,74.26,97.98,46461.59,661
110,0.26227,7.81,17.32,25.51,48.61,63.48,73.96,97.98,46439.30,662
111,0.26259,7.81,17.34,25.55,48.94,63.19,73.93,97.98,46388.91,663
112,0.26150,7.81,17.44,25.47,48.89,63.20,73.86,97.98,46405.89,663
113,0.26246,7.81,17.34,25.44,48.80,63.22,73.97,97.98,46373.20,662
114,0.26238,7.81,17.34,25.47,48.61,63.31,74.06,97.98,46350.11,663
115,0.26313,7.81,17.32,25.31,48.48,63.42,74.06,97.98,46251.16,662
