iteration,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents
735,0.23438,8.28,20.58,29.86,53.05,67.40,72.86,88.55,49172.06,798
736,0.23401,8.28,20.61,29.91,53.03,67.47,72.92,84.65,49221.74,798
737,0.23642,8.28,20.58,29.69,53.07,67.55,73.06,118.48,49199.66,798
738,0.23455,8.28,20.61,29.85,53.30,67.53,73.20,85.61,49139.58,800
739,0.23337,8.28,20.72,29.86,53.13,67.63,73.04,87.02,49187.01,801
740,0.23375,8.28,20.72,29.95,53.33,67.71,72.89,91.83,49245.33,801
741,0.23367,8.28,20.65,29.95,53.58,67.77,72.70,86.97,49307.11,801
742,0.23371,8.28,20.72,29.86,53.28,67.84,73.04,89.77,49323.19,800
743,0.23377,8.28,20.72,29.85,53.59,67.94,72.90,85.78,49330.45,801
744,0.23360,8.28,20.73,29.89,53.58,68.02,73.19,85.62,49387.70,802
745,0.23470,8.28,20.73,29.86,53.37,68.05,73.20,90.18,49372.36,803
746,0.23412,8.28,20.73,30.35,53.57,68.12,72.73,99.19,49453.24,802
747,0.23401,8.28,20.87,29.95,53.57,68.17,72.86,89.27,49471.11,804
748,0.23606,8.28,20.87,29.95,53.63,68.31,72.77,133.59,49464.12,801
749,0.23496,8.28,20.87,30.30,53.13,68.36,72.67,92.57,49432.25,802
750,0.23470,8.28,20.73,30.16,53.78,68.45,72.86,87.82,49445.42,802
751,0.23376,8.28,20.87,29.95,53.89,68.44,72.89,88.47,49487.51,804
752,0.23578,8.28,20.72,29.95,53.63,68.51,72.97,102.52,49433.84,802
753,0.23491,8.28,20.73,30.14,53.35,68.54,73.43,86.70,49439.65,804
754,0.23438,8.28,20.87,29.90,53.60,68.59,73.12,91.04,49503.03,805
755,0.23491,7.84,20.87,30.18,53.46,68.66,73.17,89.31,49571.98,804
756,0.23437,7.84,20.87,30.27,53.78,68.74,73.19,90.40,49577.45,804
757,0.23468,7.84,20.73,29.97,53.74,68.84,72.83,87.48,49513.28,802
758,0.23399,7.84,20.72,30.20,53.73,68.95,73.04,85.13,49568.84,802
759,0.23775,7.84,20.65,30.03,52.77,69.00,73.38,102.57,49530.56,798
760,0.23540,7.84,20.61,30.16,53.66,69.02,73.21,84.65,49453.32,799
761,0.23686,7.84,20.72,29.74,53.21,69.05,73.11,135.66,49490.86,799
762,0.23572,7.84,20.73,30.16,53.62,69.20,73.01,85.49,49513.76,800
763,0.23559,7.84,20.72,29.92,53.06,69.19,73.26,87.28,49493.71,799
764,0.23549,7.84,20.72,30.16,52.91,69.16,73.07,84.48,49449.27,798
765,0.23569,7.84,20.72,30.16,53.49,69.05,73.22,92.24,49486.00,798
766,0.23509,7.84,20.65,30.16,53.45,69.44,73.34,88.58,49488.18,797
767,0.23667,7.84,20.58,30.16,53.13,69.35,73.40,90.40,49437.21,796
768,0.23569,7.84,20.61,30.16,53.17,69.11,73.29,83.66,49493.28,796
769,0.23581,7.84,20.58,30.16,53.00,69.58,73.00,88.03,49554.13,796
770,0.23592,7.84,20.58,30.27,53.50,69.44,73.40,86.12,49470.28,795
771,0.23668,7.84,20.47,30.37,53.44,69.44,73.48,86.07,49468.73,794
772,0.23619,7.84,20.58,30.19,53.54,69.49,73.06,91.57,49531.73,795
773,0.23558,7.84,20.58,30.55,53.86,69.78,72.86,88.05,49597.17,795
774,0.23620,7.84,20.58,30.49,52.99,69.89,73.51,84.99,49659.82,798
775,0.23632,7.84,20.58,30.48,53.57,69.85,73.02,87.04,49648.30,797
776,0.23593,7.84,20.58,30.54,53.25,69.81,73.49,91.17,49719.91,801
777,0.23617,7.84,20.61,30.54,53.24,69.61,73.29,88.14,49786.89,801
778,0.23607,7.84,20.58,29.95,53.71,70.01,73.12,87.96,49817.46,800
779,0.23721,7.84,20.58,30.53,53.77,69.94,73.22,99.96,49772.72,799
780,0.23815,7.84,20.58,30.16,53.62,69.91,73.30,137.35,49800.08,800
781,0.23613,7.84,20.58,30.74,53.55,70.10,73.20,85.63,49784.64,800
782,0.23748,7.84,20.25,29.95,53.79,70.15,73.51,85.14,49755.49,798
783,0.23772,7.84,20.47,30.38,53.16,70.13,73.64,92.01,49653.71,798
784,0.23785,7.84,20.25,30.21,53.40,70.25,73.77,109.59,49707.76,798
785,0.23768,7.84,20.25,29.95,53.22,70.26,73.25,89.77,49640.29,798
786,0.23814,7.84,20.25,29.86,53.41,69.75,73.49,89.25,49711.44,798
787,0.23749,7.84,20.25,30.32,53.48,70.67,73.58,86.26,49775.17,800
788,0.23766,7.84,20.47,30.16,53.57,70.27,73.96,85.72,49819.04,799
789,0.23760,7.84,20.47,30.26,53.62,70.13,74.23,91.90,49868.79,799
790,0.23712,7.84,20.47,31.08,53.58,70.32,73.60,87.71,49928.45,800
791,0.23627,7.84,20.47,30.68,53.06,70.69,73.39,85.36,49973.51,800
792,0.23757,7.84,20.25,30.18,53.17,70.41,73.52,89.17,49912.17,798
793,0.23765,7.84,20.25,30.27,53.60,70.52,73.80,88.45,49947.89,799
794,0.23724,7.84,20.47,30.43,53.57,70.50,73.60,86.50,49977.36,801
795,0.23710,7.84,20.25,30.53,53.34,70.06,73.87,87.16,49965.96,804
796,0.23746,7.84,20.25,30.36,53.40,70.07,73.54,88.20,49969.39,804
797,0.23784,7.84,20.50,30.53,53.14,70.02,74.08,92.50,50032.06,806
798,0.23752,7.84,20.50,30.78,53.50,71.21,74.25,85.38,50098.54,808
799,0.23676,7.84,20.58,30.60,53.69,70.41,73.80,91.57,50171.53,808
800,0.23649,7.84,20.50,31.18,54.10,70.62,74.02,83.90,50236.45,808
801,0.23772,7.84,20.25,30.59,53.75,70.85,73.74,96.18,50178.00,805
802,0.23824,7.84,20.23,30.62,53.39,70.67,74.42,84.21,50090.56,804
803,0.23877,7.84,20.23,31.09,54.01,70.45,74.17,90.81,50100.84,805
804,0.23852,7.84,20.10,30.20,53.20,70.60,73.91,88.39,49994.23,804
805,0.23900,7.84,20.23,30.48,53.61,70.83,74.33,83.17,50082.82,805
806,0.23764,7.84,20.15,30.87,53.21,70.99,74.22,83.80,50111.81,807
807,0.23803,7.84,20.15,30.63,53.96,70.85,74.03,88.58,50102.16,807
808,0.23719,7.84,20.25,30.84,53.47,70.70,74.10,85.90,50131.96,812
809,0.23758,7.84,20.63,31.26,53.31,70.55,74.45,87.23,50206.04,814
810,0.23710,7.84,20.67,31.31,53.59,70.89,74.14,86.84,50274.91,815
811,0.23728,7.84,20.67,31.22,53.79,70.57,74.21,89.00,50285.28,814
812,0.23742,7.84,20.67,31.15,53.69,70.71,74.34,91.72,50351.80,814
813,0.23663,7.84,20.63,30.93,53.98,70.89,73.88,88.04,50347.06,813
814,0.23711,7.84,20.63,31.10,53.65,70.82,74.03,87.24,50316.59,812
815,0.23694,7.84,20.61,30.88,54.06,71.14,74.65,84.42,50351.86,811
816,0.23883,7.84,20.58,31.07,52.95,71.19,74.79,86.09,50271.24,809
817,0.23728,7.84,20.58,30.99,53.57,70.76,74.11,84.94,50319.64,811
818,0.23803,7.84,20.61,31.13,53.79,70.97,74.56,93.86,50382.97,814
819,0.23705,7.84,20.72,31.35,53.72,71.32,74.64,85.73,50459.90,815
820,0.23671,7.84,20.72,31.78,53.85,71.15,74.57,85.79,50528.34,815
821,0.23829,7.84,20.63,31.80,53.24,71.47,74.85,88.44,50592.82,816
822,0.23905,7.84,20.63,31.06,53.13,71.15,74.73,97.66,50422.53,815
823,0.23861,7.84,20.63,30.90,54.12,71.43,74.41,89.57,50486.04,817
824,0.23835,7.84,20.67,30.99,53.98,71.45,74.77,85.05,50512.16,819
825,0.23819,7.84,20.87,30.99,53.86,71.39,75.03,87.51,50576.84,820
826,0.23801,7.84,20.72,31.07,53.51,71.30,74.86,85.53,50469.19,820
827,0.23688,7.84,20.72,31.34,53.56,70.98,74.62,90.42,50560.18,822
828,0.23775,7.84,20.87,30.79,54.09,71.65,74.66,87.33,50630.06,823
829,0.23836,7.84,20.87,31.45,53.66,71.49,74.77,89.90,50633.08,823
830,0.23754,7.84,20.87,31.23,53.52,71.89,74.66,86.77,50699.58,824
831,0.23789,7.84,20.87,31.32,53.96,71.74,74.92,85.92,50741.65,823
832,0.23791,7.84,20.87,31.11,53.69,71.81,75.56,85.74,50773.96,823
833,0.23731,7.84,20.87,31.52,53.96,71.81,75.11,85.69,50831.96,823
834,0.23828,7.84,20.72,30.99,53.72,71.79,75.33,86.54,50814.76,823
835,0.23768,7.84,20.85,31.48,53.63,71.96,75.25,93.64,50900.51,825
836,0.23751,7.84,20.72,31.84,53.81,71.92,75.23,93.40,50916.53,826
837,0.23757,7.84,20.72,31.00,54.42,71.68,75.28,89.57,50930.85,826
838,0.23770,7.84,20.72,31.13,54.26,71.77,75.41,95.28,50984.27,826
839,0.23728,7.84,20.67,31.83,53.49,72.37,75.33,90.26,50963.77,826
840,0.23925,7.84,20.23,30.82,53.39,72.10,75.38,121.54,50929.05,823
841,0.23862,7.84,20.23,31.07,53.60,71.64,75.27,89.09,50864.46,822
842,0.23917,7.84,20.23,31.22,53.30,72.19,75.66,87.83,50845.19,821
843,0.23928,7.84,20.23,31.31,54.15,72.09,75.65,87.30,50925.20,823
844,0.23907,7.84,20.23,31.37,53.64,72.05,75.78,86.52,50954.33,823
845,0.23873,7.84,20.25,31.34,53.44,71.93,75.81,86.26,51014.41,826
846,0.23929,7.84,20.25,31.41,53.51,72.07,76.01,85.68,51021.12,826
847,0.23929,7.84,20.25,31.69,53.20,72.17,75.98,86.13,51079.60,826
848,0.23881,7.84,20.25,31.52,53.79,72.16,76.08,87.41,51088.30,828
849,0.23742,7.84,20.63,31.75,53.79,71.65,75.74,87.59,51097.62,828
850,0.23839,7.84,20.67,31.38,53.80,72.08,75.92,85.54,51169.47,828
851,0.23816,7.84,20.63,31.12,53.63,72.02,75.99,84.38,51155.78,828
852,0.23750,7.84,20.67,31.82,54.29,72.05,76.01,87.80,51242.08,828
853,0.23885,7.84,20.67,31.49,53.75,72.03,76.24,90.38,51229.77,830
854,0.23837,7.84,20.72,31.75,53.61,72.34,76.46,84.12,51289.23,829
855,0.23894,7.84,20.72,31.25,54.28,72.09,76.27,93.39,51301.39,829
856,0.23824,7.84,20.79,31.23,53.96,72.30,76.43,85.88,51356.39,829
857,0.23792,7.84,20.79,31.31,53.67,72.22,76.64,89.05,51419.20,830
858,0.23882,7.84,20.63,31.28,53.75,72.31,76.38,88.81,51333.32,827
859,0.23824,7.84,20.63,31.77,54.16,72.18,76.40,88.50,51366.33,828
860,0.23835,7.84,20.63,31.79,53.74,72.25,76.47,88.91,51425.12,828
861,0.23880,7.84,20.25,31.38,53.67,72.52,76.70,85.71,51433.57,828
862,0.23807,7.84,20.63,31.48,54.07,72.24,76.63,86.45,51491.19,828
863,0.23993,7.84,20.23,31.58,54.09,72.58,76.69,91.43,51436.21,826
864,0.23954,7.84,20.20,31.36,54.10,72.71,76.77,89.37,51449.28,826
865,0.23816,7.84,20.20,32.14,53.84,72.50,76.78,94.81,51502.54,829
866,0.23889,7.84,20.25,32.01,54.04,72.52,76.79,90.49,51569.07,829
867,0.23856,7.84,20.25,31.79,54.17,72.89,76.98,85.94,51633.77,829
868,0.23951,7.84,20.20,31.62,54.28,73.22,76.94,87.19,51549.80,826
869,0.23986,7.84,20.20,31.37,54.18,72.69,76.96,86.67,51535.44,826
870,0.23895,7.84,20.20,31.86,53.93,72.83,77.10,85.55,51576.31,827
871,0.23981,7.84,20.23,31.95,54.30,72.66,77.18,87.11,51643.88,828
872,0.24177,7.84,20.20,31.60,54.25,72.67,77.30,92.10,51547.79,828
873,0.24035,7.84,20.23,32.03,53.78,73.03,77.32,88.00,51531.95,828
874,0.24028,7.84,20.23,31.92,53.84,72.58,77.35,86.22,51593.15,828
875,0.24091,7.84,20.15,31.98,53.91,72.37,77.42,91.42,51602.01,826
876,0.24053,7.84,20.15,31.93,53.35,72.46,77.49,86.90,51601.32,827
877,0.24049,7.84,20.15,32.18,53.70,72.74,77.49,88.64,51655.48,828
878,0.24045,7.84,20.15,32.31,54.60,73.04,77.56,87.13,51684.87,827
879,0.24086,7.84,20.15,32.48,53.92,72.55,77.65,91.94,51720.09,830
880,0.24296,7.84,20.15,31.89,53.31,72.62,77.75,96.17,51628.77,827
881,0.24412,7.84,20.05,31.91,53.19,72.56,77.75,133.51,51496.10,823
882,0.24204,7.84,20.05,31.90,53.88,72.40,77.81,86.82,51487.91,825
883,0.24164,7.84,20.10,31.88,54.38,72.35,77.88,88.04,51542.21,827
884,0.24260,7.84,20.10,32.05,53.81,72.89,77.96,86.37,51603.60,827
885,0.24323,7.84,20.10,32.05,54.02,72.55,78.02,90.89,51667.08,826
886,0.24283,7.84,20.05,32.23,53.45,72.44,78.10,87.89,51638.38,826
887,0.24298,7.84,20.10,32.30,53.57,72.77,78.17,98.29,51677.84,829
888,0.24183,7.84,20.10,32.42,53.09,72.64,78.22,91.23,51751.98,830
889,0.24214,7.84,20.15,32.33,53.42,72.60,78.27,92.10,51825.29,831
890,0.24254,7.84,20.15,32.19,53.62,72.92,78.37,90.39,51812.67,830
891,0.24242,7.84,20.10,32.35,53.89,72.86,78.43,93.76,51847.58,829
892,0.24215,7.84,20.10,32.65,53.51,72.62,78.47,92.61,51867.44,828
893,0.24180,7.84,20.05,32.83,53.72,72.83,78.52,85.85,51833.77,828
894,0.24391,7.84,19.85,32.28,53.62,72.60,78.61,86.98,51697.15,826
895,0.24514,7.84,19.85,31.86,53.50,72.59,78.78,91.32,51759.73,826
896,0.24426,7.84,19.85,32.47,53.30,72.80,78.85,90.43,51775.35,826
897,0.24567,7.84,19.77,32.57,53.39,72.93,78.87,88.90,51771.20,824
898,0.24471,7.84,19.77,32.44,53.82,72.37,78.90,91.82,51783.89,824
899,0.24574,7.84,19.77,32.50,53.61,72.95,78.97,100.81,51729.58,822
900,0.24578,7.84,19.69,32.30,53.79,72.73,79.01,91.32,51696.72,823
901,0.24609,7.84,19.69,32.34,53.30,72.64,79.09,93.72,51734.22,824
902,0.24669,7.84,19.69,32.02,53.21,72.49,79.15,93.68,51586.10,821
903,0.24551,7.84,19.67,32.25,54.01,72.65,79.21,88.01,51684.59,821
904,0.24672,7.84,19.69,32.32,53.21,72.77,79.28,93.03,51657.41,822
905,0.24759,7.84,19.69,32.26,53.27,72.80,79.35,98.49,51686.02,819
906,0.24724,7.84,19.67,32.42,52.83,72.56,79.40,99.74,51563.08,817
907,0.24699,7.84,19.67,32.26,53.16,72.55,79.47,89.47,51575.23,817
908,0.24742,7.84,19.60,32.34,52.95,72.65,79.54,94.95,51573.85,815
909,0.24928,7.84,19.42,31.80,53.01,72.59,79.58,87.48,51292.48,813
910,0.25268,7.84,19.29,31.20,52.85,72.38,79.63,132.60,51206.80,808
911,0.25376,7.84,19.16,31.11,52.05,72.24,79.69,140.35,51072.25,807
912,0.25312,7.84,19.10,31.08,51.76,72.44,79.75,92.20,50859.18,804
913,0.25350,7.84,19.07,31.04,51.93,72.09,79.80,121.26,50826.23,802
914,0.25455,7.84,19.04,31.37,51.73,72.57,79.90,129.05,50807.59,801
915,0.25308,7.84,19.04,31.34,51.51,71.69,79.92,94.21,50756.48,802
916,0.25266,7.84,19.04,31.45,51.51,71.94,79.95,87.10,50788.37,802
917,0.25534,7.84,18.96,30.83,51.62,72.08,80.04,98.05,50844.28,799
918,0.25342,7.84,18.91,31.04,52.02,71.86,79.97,90.85,50756.99,800
919,0.25541,7.84,18.83,30.99,52.13,71.60,80.20,91.66,50731.85,800
920,0.25569,7.84,18.83,30.84,51.66,71.94,80.25,100.04,50733.69,799
921,0.25631,7.84,18.76,30.28,51.18,72.32,80.34,86.65,50588.79,795
922,0.25711,7.84,18.68,30.77,51.25,71.57,80.34,109.00,50534.75,793
923,0.25751,7.84,18.66,30.82,50.80,71.99,80.21,93.88,50345.33,792
924,0.25893,7.84,18.57,30.02,50.43,71.72,80.38,96.96,50324.66,791
925,0.25977,7.84,18.58,29.78,50.39,71.62,80.38,92.34,50175.94,786
926,0.26003,7.84,18.57,29.96,50.32,71.14,80.40,92.59,50060.85,783
927,0.26324,7.84,18.47,29.12,50.44,71.15,80.58,129.81,49984.97,781
928,0.26583,7.84,18.09,28.42,50.17,70.71,80.12,144.19,49635.84,773
929,0.26778,7.84,17.79,27.84,50.14,70.86,80.39,118.40,49339.84,768
930,0.26942,7.84,17.56,27.50,49.02,70.47,79.49,92.83,48900.78,760
931,0.26924,7.84,17.56,27.80,48.75,69.90,79.24,106.78,48642.09,760
932,0.27118,7.84,17.56,27.09,48.05,69.65,79.38,124.04,48374.37,757
933,0.27320,7.84,17.51,26.80,47.97,69.35,79.04,144.27,48131.18,752
934,0.27421,7.84,17.49,26.33,48.17,69.21,79.10,122.86,47959.15,752
935,0.27676,7.84,17.22,25.99,47.62,69.00,78.81,138.86,47759.50,745
936,0.27643,7.84,17.11,25.74,47.53,68.63,78.34,89.48,47373.23,742
937,0.27580,7.84,17.13,25.74,47.44,68.12,77.67,92.61,47219.34,741
938,0.28152,7.84,16.84,25.34,46.50,68.13,77.91,144.47,47019.27,734
939,0.28194,7.84,16.79,25.32,46.63,68.23,77.57,141.22,46779.54,730
940,0.28207,7.84,16.70,24.85,46.46,68.03,77.33,107.19,46513.19,725
941,0.28131,7.84,16.68,24.62,45.97,67.59,76.95,90.61,46156.49,722
942,0.28321,7.84,16.62,24.83,46.05,67.49,77.42,104.32,46054.07,719
943,0.28471,7.84,16.52,24.49,44.98,66.96,76.70,104.46,45592.00,713
944,0.28378,7.84,16.46,24.39,45.04,66.37,75.93,87.91,45406.32,711
945,0.28558,7.84,16.32,24.29,44.92,66.56,75.91,136.44,45423.97,707
946,0.28508,7.84,16.32,24.18,44.48,66.48,75.98,142.02,45186.16,706
947,0.28903,7.84,16.24,23.72,44.23,66.55,76.12,127.98,45091.11,700
948,0.28670,7.84,16.08,23.60,44.01,65.54,75.59,100.47,44803.37,697
949,0.28815,7.84,16.05,23.32,44.07,65.47,75.57,130.64,44631.77,697
950,0.28920,7.84,16.08,23.19,43.93,65.76,75.44,99.53,44498.05,693
951,0.28984,7.84,16.05,23.15,43.81,65.33,75.15,120.59,44138.57,688
952,0.29104,7.84,16.05,23.02,42.96,65.04,75.41,144.89,43939.06,685
953,0.28951,7.84,16.05,22.74,42.97,64.59,75.10,97.53,43797.71,686
954,0.28755,7.84,16.05,23.15,43.19,64.56,74.90,90.19,43819.42,686
955,0.29077,7.84,16.05,22.96,42.58,64.64,75.00,129.14,43839.14,684
956,0.28893,7.84,16.05,23.02,41.77,64.53,74.59,84.65,43781.14,683
957,0.28919,7.84,15.94,22.83,42.75,64.59,74.89,92.88,43763.23,683
958,0.28868,7.84,15.94,22.74,42.34,63.63,74.96,85.48,43673.16,683
959,0.28889,7.84,15.94,22.83,43.23,64.25,74.96,91.41,43730.21,682
960,0.28903,7.84,15.94,23.02,42.74,64.05,75.28,87.69,43742.40,682
961,0.28894,7.84,15.94,22.83,42.40,64.16,74.87,86.88,43707.19,682
962,0.28867,7.84,16.05,22.83,42.49,64.12,74.81,87.89,43781.20,683
963,0.28991,7.84,15.86,22.64,42.83,64.01,74.99,91.10,43668.07,680
964,0.29042,7.84,15.86,22.53,42.37,64.04,74.62,87.03,43607.38,682
965,0.29012,7.84,15.94,22.64,42.19,64.34,75.12,90.33,43691.18,681
966,0.29057,7.84,16.05,22.64,42.23,63.91,75.04,102.55,43699.32,680
967,0.29050,7.84,16.05,22.34,42.27,63.55,74.87,107.25,43672.85,679
968,0.29123,7.84,15.94,22.53,42.36,63.85,75.02,107.25,43720.90,680
969,0.29076,7.84,16.05,22.34,42.12,63.80,75.22,124.25,43680.62,678
970,0.28948,7.84,16.05,22.57,42.38,63.40,74.79,107.25,43621.22,678
971,0.29057,7.84,16.05,22.53,41.79,63.24,74.96,107.25,43652.05,678
972,0.28926,7.96,16.06,22.53,42.63,63.88,74.90,107.25,43665.01,678
973,0.29197,7.96,16.05,22.32,41.92,63.85,74.99,121.74,43629.07,676
974,0.28961,7.96,16.05,22.34,41.79,63.45,74.46,107.25,43473.74,675
975,0.29209,7.96,16.05,22.31,42.27,64.00,74.56,119.52,43517.98,675
976,0.29014,7.96,16.05,22.34,42.17,62.66,74.55,107.25,43383.17,676
977,0.29039,7.96,16.05,22.32,41.74,63.20,74.67,107.25,43409.23,676
978,0.29113,7.96,16.05,22.32,41.34,63.25,74.53,107.25,43402.43,675
979,0.29029,7.96,16.05,22.32,41.78,63.36,74.54,107.25,43387.34,677
980,0.29070,7.96,16.05,22.34,41.69,63.12,74.76,86.59,43365.30,679
981,0.29018,7.96,16.05,22.46,42.02,63.37,74.99,89.04,43404.95,679
982,0.29035,7.96,16.05,22.46,42.79,63.06,74.84,87.49,43456.14,680
983,0.29099,7.96,16.05,22.46,42.37,62.99,75.21,107.58,43513.03,680
984,0.28888,7.96,16.05,22.57,42.15,63.27,74.71,88.17,43483.33,680
985,0.28985,7.96,16.05,22.53,42.15,63.39,74.78,86.28,43520.16,681
986,0.28918,7.96,16.05,22.64,42.05,63.66,75.31,86.61,43576.78,682
987,0.28920,7.96,16.05,22.57,42.41,63.30,74.92,87.66,43633.82,683
988,0.28878,7.96,16.06,22.64,42.49,63.57,75.15,85.72,43696.29,683
989,0.28916,7.96,16.06,22.64,42.31,63.53,75.18,85.09,43670.94,682
990,0.28899,7.96,16.06,22.74,42.42,63.45,75.14,88.76,43741.83,682
991,0.29049,7.96,16.05,22.64,42.46,63.47,75.66,122.69,43798.83,682
992,0.29086,7.96,16.05,22.31,42.96,63.83,74.72,124.91,43805.98,680
993,0.29180,7.96,16.05,22.32,42.76,63.50,75.31,123.17,43738.51,678
994,0.29061,7.96,16.05,22.46,42.81,63.61,75.36,86.91,43667.65,680
995,0.29108,7.96,16.05,22.34,42.76,63.55,75.46,91.05,43706.09,680
996,0.29042,7.96,16.06,22.57,42.67,63.82,75.06,90.28,43718.22,681
997,0.28964,7.96,16.06,22.67,43.01,63.85,75.14,84.83,43769.26,681
998,0.29026,7.96,16.05,22.64,42.76,63.87,75.22,95.57,43821.96,683
999,0.28934,7.96,16.06,22.74,42.72,63.81,75.35,85.22,43832.07,684
1000,0.28988,7.96,16.06,22.57,43.19,63.91,75.36,108.89,43876.50,684
1001,0.29169,7.96,15.96,22.52,43.26,63.87,75.87,140.83,43799.19,682
1002,0.29247,7.96,15.96,22.46,42.40,63.95,75.52,145.10,43762.08,680
1003,0.29031,7.96,15.96,22.49,42.84,62.94,75.25,90.47,43708.93,680
1004,0.29101,7.96,15.96,22.46,43.07,63.76,75.49,121.10,43741.08,680
1005,0.29054,7.96,15.96,22.46,42.83,63.35,75.33,94.70,43743.87,679
1006,0.29074,7.96,15.96,22.46,42.84,63.65,75.16,98.88,43739.13,679
1007,0.29161,7.96,15.96,22.46,42.82,63.96,75.40,115.85,43781.27,679
1008,0.29100,7.96,15.96,22.31,43.07,62.82,75.29,96.91,43780.66,679
1009,0.29057,7.96,16.05,22.34,43.19,63.50,74.72,89.39,43732.28,679
1010,0.29271,7.96,15.96,22.32,42.80,63.92,75.48,132.44,43765.30,678
1011,0.29091,7.96,15.96,22.31,43.02,63.16,75.42,86.82,43640.59,677
1012,0.29093,7.96,15.96,22.34,43.26,63.23,75.32,89.51,43667.06,678
1013,0.29153,7.96,15.94,22.32,43.49,63.31,75.57,90.76,43607.40,677
1014,0.29259,7.96,15.94,22.06,43.52,63.73,75.44,91.91,43663.74,675
1015,0.29182,7.96,15.94,22.06,43.39,63.16,75.35,88.56,43619.24,675
1016,0.29174,7.96,15.94,22.06,43.50,62.90,75.47,83.07,43652.96,675
1017,0.29333,7.96,15.89,21.67,43.00,62.93,75.57,142.11,43621.02,676
1018,0.29431,7.96,15.86,22.05,43.31,63.10,76.01,143.32,43644.95,677
1019,0.29421,7.96,15.86,22.05,42.70,63.02,76.31,101.10,43645.88,677
1020,0.29304,7.96,15.86,22.31,42.89,63.15,75.63,88.37,43641.55,679
1021,0.29160,7.96,15.89,22.34,43.26,63.10,75.45,93.75,43621.20,678
1022,0.29320,7.96,15.89,22.32,43.53,63.18,75.56,125.13,43694.83,678
1023,0.29320,7.96,15.89,22.22,43.17,63.25,75.35,106.66,43706.75,678
1024,0.29296,7.96,15.86,22.06,43.49,63.01,75.18,99.80,43656.91,676
1025,0.29277,7.96,15.86,21.94,43.13,63.38,74.78,111.33,43505.50,674
1026,0.29306,7.96,15.86,21.94,43.29,63.30,75.15,111.33,43563.88,673
1027,0.29317,7.96,15.73,21.67,43.52,62.61,75.03,111.33,43489.27,673
1028,0.29381,7.96,15.73,21.66,43.35,62.68,75.29,111.33,43461.49,671
1029,0.29333,7.96,15.73,21.66,43.26,62.72,75.41,111.33,43476.78,673
1030,0.29336,7.96,15.73,21.66,43.53,62.70,75.68,111.33,43524.66,673
1031,0.29358,7.96,15.73,21.67,43.14,63.23,75.21,111.33,43535.56,672
1032,0.29505,7.96,15.73,21.67,42.83,63.03,75.13,125.45,43492.83,673
1033,0.29359,7.96,15.73,21.67,42.90,62.67,74.86,133.02,43409.15,672
1034,0.29360,7.96,15.73,21.67,43.46,62.73,75.31,89.70,43386.75,672
1035,0.29272,7.96,15.73,21.67,43.16,62.93,75.27,90.74,43424.26,672
1036,0.29434,7.96,15.73,21.66,43.28,63.17,75.48,140.34,43473.99,671
1037,0.29417,7.96,15.73,21.65,43.41,62.94,75.45,104.87,43473.66,671
1038,0.29483,7.96,15.73,21.65,42.95,62.84,75.38,121.09,43472.35,673
1039,0.29314,7.96,15.80,21.66,43.56,63.12,74.98,87.98,43482.59,674
1040,0.29390,7.96,15.86,21.94,43.60,62.73,75.16,114.79,43534.85,673
1041,0.29301,7.96,15.80,21.66,43.69,62.62,75.33,87.08,43459.82,671
1042,0.29433,7.96,15.79,21.66,43.25,63.29,75.42,131.65,43463.41,671
1043,0.29546,7.96,15.73,21.65,43.10,62.61,75.42,104.17,43327.70,668
1044,0.29364,7.96,15.73,21.65,43.18,62.80,75.39,84.11,43276.56,668
1045,0.29523,7.96,15.60,21.55,43.26,63.31,75.25,102.48,43308.38,666
1046,0.29336,7.96,15.73,21.55,43.06,62.25,75.24,85.12,43216.52,666
1047,0.29499,7.96,15.73,21.55,42.91,62.16,75.32,104.50,43157.88,665
1048,0.29367,7.96,15.79,21.65,42.92,62.19,75.38,90.15,43186.25,665
1049,0.29401,7.96,15.79,21.55,43.17,62.34,75.51,87.30,43233.61,665
1050,0.29480,7.96,15.73,21.55,43.35,62.83,75.54,128.72,43284.70,665
1051,0.29500,7.96,15.73,21.55,42.84,63.05,75.70,93.68,43287.36,664
1052,0.29514,7.96,15.73,21.55,43.04,62.61,75.28,91.53,43290.30,664
1053,0.29381,7.96,15.73,21.65,43.41,62.48,75.70,87.35,43285.61,665
1054,0.29479,7.96,15.60,21.55,42.98,62.67,75.38,94.76,43253.35,663
1055,0.29380,7.96,15.60,21.55,43.06,62.25,75.39,89.93,43260.71,664
1056,0.29705,7.96,15.51,21.42,43.47,62.21,75.15,134.81,43310.17,664
1057,0.29662,7.96,15.52,21.55,42.64,62.42,75.22,142.05,43051.94,662
1058,0.29580,7.96,15.51,21.42,43.16,62.40,74.82,104.96,43060.57,662
1059,0.29624,7.96,15.51,21.42,42.77,62.56,75.50,101.86,43050.21,661
1060,0.29615,7.96,15.42,21.36,42.12,61.86,75.44,88.38,42957.07,660
1061,0.29817,7.96,15.42,21.36,42.16,62.07,74.77,137.15,42960.54,658
1062,0.29708,7.96,15.35,21.23,42.59,61.67,75.00,88.19,42744.07,656
1063,0.29641,7.96,15.35,21.26,42.43,62.09,74.88,86.42,42752.21,656
1064,0.29769,7.96,15.35,21.24,41.83,61.96,74.80,130.46,42795.16,656
