iteration,total_transactions_amount,transactions_count,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
1,563.37,187,0.21463,10.33,34.30,49.01,70.21,90.95,103.22,131.64,69843.93,721,5.11,0.00,0.90,3.19,5.09,7.54,8.96,9.94
2,688.90,173,0.21380,10.33,39.07,59.79,82.80,101.41,119.25,153.63,80720.91,717,5.11,0.00,0.75,3.20,5.07,7.54,8.96,9.94
3,736.52,173,0.22596,10.33,40.49,63.64,90.14,114.31,134.43,174.71,88830.04,711,5.09,0.00,0.23,3.21,5.06,7.46,8.96,9.94
4,940.98,191,0.24106,10.33,39.03,67.00,94.80,124.41,148.56,215.11,95441.82,709,5.08,0.00,0.29,3.21,5.05,7.45,8.95,9.94
5,761.69,157,0.25175,10.33,39.07,68.49,98.34,133.37,161.37,225.28,100848.21,706,5.09,0.00,0.33,3.24,5.05,7.46,8.96,9.94
6,817.26,155,0.26086,10.33,39.03,70.01,101.57,140.93,169.95,233.46,104915.17,702,5.08,0.00,0.39,3.23,5.05,7.45,8.96,9.94
7,825.94,154,0.26930,10.33,38.60,69.98,104.99,146.80,177.29,246.67,107893.82,698,5.08,0.00,0.43,3.23,5.06,7.46,8.97,9.94
8,1003.91,184,0.27552,10.33,38.60,70.16,106.27,151.20,184.31,260.69,110315.43,695,5.08,0.00,0.47,3.17,5.08,7.47,8.97,9.94
9,827.03,154,0.27940,10.33,38.34,70.37,108.86,155.16,188.41,260.01,112520.10,693,5.10,0.00,0.50,3.20,5.07,7.48,8.97,9.94
10,707.64,124,0.28346,10.33,38.38,69.89,109.60,157.04,191.77,259.52,113845.46,692,5.09,0.00,0.54,3.17,5.04,7.48,8.97,9.94
11,795.85,138,0.28703,10.33,38.34,69.77,109.73,158.91,193.09,259.19,114653.07,689,5.09,0.00,0.58,3.11,5.06,7.49,8.96,9.94
12,847.21,145,0.28952,10.33,38.60,69.43,109.74,160.71,196.71,276.48,115384.13,687,5.08,0.00,0.63,3.08,5.05,7.50,8.96,9.95
13,1000.68,171,0.29131,10.33,38.68,68.92,109.60,162.74,198.03,274.80,116048.18,686,5.08,0.00,0.67,3.09,5.04,7.49,8.97,9.95
14,1044.21,183,0.29216,10.33,38.96,70.05,111.19,164.62,200.01,273.51,117213.56,687,5.11,0.05,0.71,3.14,5.06,7.49,8.97,9.95
15,967.57,165,0.29310,10.33,39.03,70.17,111.86,165.91,200.62,272.52,117775.34,687,5.12,0.00,0.75,3.15,5.08,7.50,8.97,9.95
16,895.50,159,0.29377,10.33,39.03,68.75,113.13,165.70,201.88,271.79,117979.48,684,5.13,0.00,0.81,3.16,5.09,7.51,8.97,9.95
17,889.96,146,0.29426,10.33,39.03,68.92,113.52,166.64,202.01,288.52,118100.05,683,5.13,0.00,0.85,3.14,5.11,7.50,8.98,9.95
18,848.60,147,0.29542,10.33,39.07,68.92,113.75,167.08,203.42,284.48,118400.76,685,5.14,0.00,0.90,3.14,5.12,7.51,8.99,9.95
19,935.54,160,0.29654,10.33,39.05,67.17,112.84,166.16,203.40,284.34,117763.26,680,5.13,0.00,0.92,3.11,5.09,7.52,8.98,9.95
20,777.97,127,0.29830,10.33,38.60,66.65,110.00,166.83,201.74,392.86,117219.49,674,5.11,0.00,0.94,3.03,5.08,7.48,8.96,9.95
21,1036.11,161,0.29801,10.33,38.96,66.54,110.17,167.28,203.35,362.35,117317.31,674,5.12,0.00,0.99,2.99,5.09,7.49,8.97,9.95
22,690.43,116,0.29756,10.33,39.03,67.03,111.79,168.64,203.23,338.00,117898.89,675,5.15,0.02,1.03,3.04,5.12,7.49,8.97,9.95
23,904.12,155,0.29760,10.33,39.03,67.08,112.60,168.75,203.18,318.57,118170.96,675,5.16,0.00,1.07,3.06,5.14,7.48,8.97,9.95
24,811.82,132,0.29752,10.33,39.03,67.03,112.26,168.42,202.84,303.10,118416.37,673,5.17,0.00,1.11,3.06,5.16,7.46,8.98,9.95
25,852.36,143,0.29717,10.33,39.03,67.17,113.61,168.22,203.10,290.78,118722.89,672,5.19,0.00,1.15,3.09,5.18,7.46,8.99,9.95
26,1053.95,180,0.29794,10.33,39.07,67.36,112.88,168.15,202.92,283.63,118691.93,673,5.20,0.00,1.20,3.13,5.19,7.47,8.97,9.95
27,987.98,153,0.29752,10.33,39.07,67.17,112.98,168.79,202.98,283.63,118751.91,672,5.21,0.00,1.24,3.12,5.19,7.48,8.97,9.95
28,846.88,133,0.29791,10.33,39.20,66.65,112.35,169.15,203.00,283.63,118709.51,672,5.21,0.00,1.28,3.13,5.20,7.47,8.96,9.95
29,946.58,162,0.29817,10.33,40.11,66.65,113.64,168.44,202.80,283.63,118682.89,670,5.21,0.00,1.32,3.16,5.20,7.47,8.96,9.95
30,1086.14,188,0.29893,10.33,39.87,66.29,112.52,167.98,203.48,283.63,118033.14,667,5.19,0.00,1.33,3.14,5.20,7.47,8.96,9.95
31,694.17,115,0.29806,10.33,40.11,66.16,114.73,169.06,203.51,283.63,118496.73,669,5.22,0.01,1.38,3.17,5.22,7.49,8.97,9.95
32,848.63,141,0.30010,10.33,40.11,65.49,113.96,168.89,203.78,287.08,118034.98,664,5.20,0.00,1.38,3.13,5.19,7.47,8.96,9.95
33,737.90,123,0.30066,10.33,40.11,65.00,113.09,167.62,203.66,287.08,117810.24,662,5.20,0.00,1.40,3.13,5.18,7.47,8.97,9.95
34,812.88,132,0.29999,10.33,40.11,64.82,114.04,168.23,204.35,287.08,117985.85,664,5.22,0.00,1.44,3.14,5.21,7.48,8.97,9.95
35,828.34,133,0.30004,10.33,40.11,65.10,114.04,169.24,203.22,287.08,118373.36,665,5.24,0.06,1.50,3.19,5.23,7.50,8.98,9.95
36,658.08,113,0.30025,10.33,40.11,65.28,113.94,169.78,204.95,287.08,118559.61,666,5.26,0.00,1.52,3.23,5.25,7.51,8.98,9.95
37,998.45,157,0.30127,10.33,39.87,64.61,112.30,169.74,202.70,287.08,117725.06,661,5.24,0.00,1.54,3.10,5.24,7.45,8.97,9.95
38,944.49,155,0.30137,10.33,39.20,64.61,111.77,169.52,200.09,287.08,117631.12,660,5.25,0.00,1.57,3.08,5.26,7.45,8.98,9.95
39,988.03,155,0.30160,10.33,39.07,64.61,111.88,170.19,200.36,287.08,117629.13,659,5.27,0.00,1.61,3.09,5.26,7.47,8.98,9.95
40,827.89,137,0.30219,10.33,39.07,64.68,109.84,169.18,202.26,287.08,117372.28,656,5.27,0.00,1.64,3.03,5.28,7.48,8.98,9.95
41,957.93,167,0.30255,10.33,39.07,64.75,110.13,169.68,200.35,287.08,117330.21,654,5.28,0.00,1.67,3.04,5.30,7.49,8.98,9.95
42,796.50,129,0.30226,10.33,39.13,65.08,109.69,170.03,199.11,287.08,117018.81,653,5.28,0.00,1.68,3.03,5.30,7.48,8.98,9.95
43,847.82,142,0.30094,11.27,39.13,64.68,110.15,170.49,199.07,287.08,116945.49,653,5.29,0.00,1.70,3.04,5.31,7.49,8.98,9.95
44,725.26,128,0.30148,11.27,39.13,65.00,112.89,169.05,199.06,287.08,117172.54,654,5.31,0.00,1.73,3.07,5.34,7.51,8.98,9.95
45,1178.69,199,0.30318,11.27,39.13,65.10,110.90,167.28,200.95,297.43,116897.00,651,5.30,0.00,1.71,3.09,5.34,7.51,8.99,9.95
46,723.26,126,0.30304,11.27,39.13,64.68,108.91,165.75,200.81,297.43,116384.35,647,5.29,0.00,1.75,3.08,5.35,7.51,8.99,9.95
47,838.93,139,0.30298,11.27,39.20,65.00,108.65,167.05,201.23,297.43,116562.78,646,5.31,0.00,1.78,3.07,5.36,7.51,8.99,9.95
48,1008.40,165,0.30357,11.27,39.13,64.33,107.86,164.97,202.13,297.43,116287.60,643,5.31,0.00,1.78,3.11,5.39,7.52,8.99,9.95
49,780.83,126,0.30341,11.27,39.13,64.48,108.69,168.71,201.53,297.43,116463.30,642,5.33,0.00,1.80,3.13,5.41,7.52,9.00,9.95
50,853.44,152,0.30360,11.27,39.13,64.68,109.44,168.72,203.63,297.43,116854.41,642,5.35,0.03,1.84,3.18,5.43,7.53,9.01,9.95
51,851.38,142,0.30320,11.27,39.13,64.61,110.05,168.66,203.33,297.43,116764.45,642,5.36,0.00,1.87,3.13,5.43,7.53,9.00,9.95
52,743.55,127,0.30242,11.27,39.20,64.66,110.75,168.96,202.90,297.43,116898.63,641,5.37,0.00,1.92,3.14,5.44,7.54,8.98,9.95
53,758.75,125,0.30263,11.27,39.20,64.84,109.62,168.04,202.95,297.43,117060.71,640,5.39,0.00,1.93,3.15,5.45,7.55,8.99,9.96
54,731.22,119,0.30260,11.27,39.13,65.00,108.52,169.13,202.17,297.43,116695.68,639,5.39,0.00,1.95,3.15,5.44,7.54,8.97,9.96
55,708.02,116,0.30260,11.27,39.13,64.80,109.55,169.86,201.73,297.43,116855.97,638,5.41,0.00,1.97,3.16,5.46,7.55,8.97,9.96
56,784.74,131,0.30326,11.27,39.13,64.58,110.42,169.83,201.46,297.43,116772.67,638,5.41,0.00,2.02,3.18,5.47,7.57,8.97,9.96
57,713.05,110,0.30285,11.27,39.13,64.48,111.12,170.73,202.65,297.43,117135.44,639,5.44,0.06,2.03,3.20,5.49,7.58,8.98,9.96
58,715.45,114,0.30389,11.27,39.20,64.26,110.07,169.44,203.19,297.43,117091.57,638,5.44,0.00,2.01,3.14,5.51,7.58,8.98,9.96
59,728.33,119,0.30393,11.27,39.20,64.47,110.15,169.01,202.78,297.43,117196.79,640,5.45,0.00,2.03,3.10,5.52,7.59,8.99,9.96
60,840.36,152,0.30409,11.27,39.87,64.13,111.10,168.30,203.82,297.43,117554.33,638,5.46,0.00,2.04,3.11,5.53,7.56,8.99,9.96
61,874.15,153,0.30385,11.27,39.87,64.48,111.43,169.54,203.59,297.43,117907.44,639,5.48,0.01,2.10,3.14,5.56,7.56,8.99,9.96
62,726.13,117,0.30501,11.27,39.87,63.99,112.61,169.43,203.07,315.44,118255.95,638,5.49,0.00,2.11,3.15,5.53,7.56,8.98,9.96
63,924.47,151,0.30594,11.27,40.11,64.61,112.10,166.47,203.49,473.00,118135.50,636,5.48,0.00,2.11,3.08,5.53,7.56,8.99,9.96
64,943.94,159,0.30571,11.27,40.11,64.70,112.57,167.75,204.49,473.00,118510.98,640,5.50,0.04,2.14,3.11,5.55,7.57,8.99,9.96
65,1035.18,174,0.30545,11.27,40.49,64.70,112.62,167.70,203.64,473.00,118335.40,640,5.51,0.00,2.12,3.13,5.57,7.58,9.00,9.96
66,873.95,140,0.30688,11.27,40.49,64.61,113.60,168.88,204.70,501.14,118692.43,639,5.51,0.00,2.09,3.14,5.57,7.58,8.99,9.96
67,701.13,115,0.30709,11.27,40.61,64.68,113.95,169.31,205.21,501.14,118854.78,638,5.52,0.00,2.08,3.13,5.58,7.57,8.99,9.96
68,963.51,161,0.30868,11.27,40.61,63.78,114.23,169.74,204.66,523.01,119213.21,637,5.52,0.00,2.12,3.14,5.59,7.55,8.99,9.96
69,953.94,159,0.30871,11.27,40.86,63.79,115.22,169.22,205.20,523.01,119164.24,638,5.54,0.00,2.14,3.16,5.61,7.56,9.00,9.96
70,871.71,141,0.30890,11.27,40.49,63.63,114.29,170.30,203.85,523.01,118871.45,637,5.54,0.00,2.16,3.18,5.61,7.56,9.00,9.96
71,816.26,139,0.30905,11.27,40.49,63.38,113.74,168.60,203.86,523.01,118511.33,636,5.54,0.00,2.10,3.20,5.64,7.58,9.01,9.96
72,947.92,163,0.30849,11.27,40.61,63.38,114.54,170.15,204.19,523.01,118909.55,637,5.56,0.03,2.14,3.23,5.65,7.59,9.01,9.96
73,920.97,165,0.30942,11.27,41.11,63.38,113.95,169.85,204.49,523.01,118835.14,634,5.55,0.00,2.07,3.24,5.65,7.59,9.02,9.96
74,924.76,154,0.30900,11.27,41.51,63.02,112.42,169.89,203.56,523.01,118808.35,632,5.56,0.00,2.06,3.26,5.67,7.60,9.02,9.96
75,740.66,124,0.30872,11.27,41.68,63.38,113.57,170.65,202.54,523.01,119018.65,632,5.57,0.00,2.05,3.29,5.68,7.60,9.03,9.96
76,772.38,134,0.30882,11.27,41.68,63.52,114.38,170.70,203.04,523.01,119400.11,632,5.59,0.00,2.10,3.33,5.70,7.62,9.03,9.96
77,732.13,121,0.30872,11.27,41.51,63.68,115.57,171.17,204.31,523.01,119765.00,631,5.60,0.00,2.12,3.36,5.71,7.64,9.04,9.96
78,913.59,155,0.30981,11.27,41.51,63.38,113.65,171.60,203.44,523.01,119642.33,628,5.59,0.00,2.04,3.38,5.72,7.64,9.04,9.96
79,997.88,156,0.30985,11.27,41.51,63.63,114.58,172.77,201.89,523.01,119785.78,628,5.61,0.00,2.08,3.40,5.75,7.65,9.04,9.96
80,733.82,120,0.30984,11.27,41.68,63.63,114.21,172.03,202.11,523.01,119884.48,626,5.60,0.00,2.08,3.41,5.76,7.64,9.03,9.96
81,903.87,148,0.30983,11.27,41.68,63.87,113.97,172.33,203.08,523.01,120238.50,626,5.62,0.00,2.11,3.44,5.78,7.66,9.03,9.96
82,740.97,125,0.30944,11.27,41.51,64.68,113.68,173.07,203.36,523.01,120373.74,625,5.63,0.00,2.12,3.45,5.79,7.67,9.04,9.96
83,758.35,129,0.30906,11.27,41.68,64.70,114.96,171.14,203.76,523.01,120718.72,623,5.63,0.00,2.14,3.48,5.81,7.68,9.03,9.96
84,887.64,140,0.30875,11.27,41.68,65.10,116.31,173.25,204.19,523.01,121059.47,623,5.66,0.02,2.17,3.51,5.82,7.69,9.04,9.96
85,717.19,121,0.30894,11.27,41.51,65.10,115.10,173.32,205.64,523.01,121185.15,622,5.67,0.00,2.21,3.53,5.85,7.70,9.04,9.96
86,622.39,106,0.31011,11.27,41.00,64.70,115.54,173.54,206.33,523.01,121293.61,620,5.67,0.00,2.20,3.55,5.86,7.71,9.03,9.96
87,633.61,100,0.31121,11.27,41.00,65.34,114.53,172.39,206.15,523.01,121185.07,618,5.66,0.00,2.21,3.57,5.87,7.71,9.04,9.96
88,767.10,120,0.31184,11.27,40.61,65.34,115.05,173.59,205.10,523.01,121302.29,616,5.67,0.00,2.21,3.59,5.87,7.72,9.04,9.96
89,893.72,150,0.31160,11.27,40.86,65.10,115.38,171.57,206.41,523.01,121193.16,616,5.67,0.00,2.22,3.61,5.88,7.73,9.05,9.96
90,747.58,119,0.31140,11.27,41.00,65.67,116.27,172.85,206.09,523.01,121538.27,616,5.69,0.00,2.22,3.66,5.90,7.74,9.05,9.96
91,860.21,146,0.31126,11.27,41.00,65.90,116.80,174.12,206.60,523.01,121878.95,616,5.71,0.06,2.26,3.68,5.92,7.74,9.06,9.96
92,941.18,154,0.31113,11.27,41.00,65.74,117.38,174.40,207.26,523.01,122195.32,617,5.73,0.06,2.29,3.71,5.95,7.75,9.06,9.96
93,909.08,142,0.31128,11.27,41.00,65.72,117.06,173.80,207.84,523.01,122255.88,617,5.74,0.00,2.30,3.74,5.95,7.76,9.07,9.96
94,798.38,140,0.31059,11.27,41.11,66.14,117.63,174.06,207.19,523.01,122329.67,616,5.75,0.00,2.33,3.77,5.97,7.77,9.07,9.96
95,717.04,117,0.31037,11.27,41.11,66.29,116.99,173.40,208.81,523.01,122656.37,619,5.77,0.03,2.39,3.80,5.99,7.79,9.08,9.96
96,754.40,127,0.31087,11.27,41.11,65.71,116.65,173.97,208.07,523.01,122473.43,617,5.77,0.00,2.38,3.82,6.00,7.79,9.08,9.96
97,709.73,114,0.31203,11.27,41.11,65.10,114.46,172.76,206.97,523.01,121825.18,614,5.75,0.00,2.37,3.84,6.00,7.77,9.06,9.96
98,895.73,150,0.31189,11.27,41.11,65.35,115.61,173.51,207.59,523.01,122183.95,614,5.77,0.01,2.40,3.87,6.02,7.78,9.07,9.96
99,549.81,95,0.31204,11.27,41.66,65.00,114.07,174.12,208.62,523.01,122107.81,614,5.78,0.00,2.41,3.91,6.03,7.79,9.07,9.97
100,607.56,96,0.31141,11.27,41.68,65.85,116.44,173.40,208.24,523.01,122457.48,614,5.80,0.02,2.45,3.95,6.05,7.81,9.08,9.97
101,703.63,117,0.31085,11.27,41.68,66.04,117.12,173.40,208.76,523.01,122778.69,614,5.83,0.05,2.49,3.96,6.08,7.81,9.08,9.97
102,592.70,91,0.31029,11.27,41.68,65.85,117.63,173.75,208.87,523.01,123087.29,616,5.85,0.11,2.53,4.00,6.09,7.81,9.08,9.97
103,778.37,127,0.31158,11.27,41.68,65.85,118.22,173.50,209.22,523.01,123378.23,616,5.86,0.00,2.54,4.03,6.10,7.83,9.09,9.97
104,387.37,66,0.31082,11.27,41.68,65.71,118.57,173.93,209.73,523.01,123690.89,617,5.88,0.01,2.58,4.06,6.14,7.84,9.09,9.97
105,825.37,135,0.31053,11.27,42.05,66.21,120.40,175.13,209.40,523.01,123961.78,620,5.90,0.10,2.61,4.08,6.14,7.85,9.10,9.97
106,823.53,140,0.31188,11.27,42.05,66.14,118.99,174.17,209.83,523.01,124017.57,622,5.91,0.00,2.60,4.10,6.17,7.86,9.10,9.97
107,725.33,116,0.31025,11.27,42.15,66.39,120.27,174.47,209.93,523.01,124326.62,623,5.92,0.00,2.62,4.13,6.19,7.88,9.11,9.97
108,793.35,130,0.31082,11.27,42.15,66.54,120.45,174.53,209.43,523.01,124372.95,622,5.93,0.00,2.61,4.15,6.19,7.87,9.11,9.97
109,913.85,150,0.31023,11.27,42.53,66.39,121.60,174.87,210.14,523.01,124671.43,623,5.94,0.00,2.61,4.18,6.20,7.88,9.11,9.97
110,605.18,104,0.31068,11.27,42.53,66.14,119.50,175.48,210.36,523.01,124564.42,622,5.94,0.00,2.58,4.20,6.21,7.89,9.12,9.97
111,638.14,104,0.31026,11.27,42.53,66.39,119.65,175.28,210.23,523.01,124650.41,623,5.95,0.00,2.60,4.23,6.23,7.90,9.12,9.97
112,789.08,120,0.30984,11.27,42.53,66.54,121.42,175.79,210.73,523.01,124972.01,625,5.97,0.02,2.61,4.25,6.24,7.91,9.13,9.97
113,797.59,133,0.30945,11.27,42.53,66.80,121.00,176.33,211.27,523.01,125280.79,628,5.99,0.10,2.64,4.27,6.27,7.92,9.13,9.97
114,818.62,128,0.30888,11.27,42.53,66.93,119.46,176.82,211.39,523.01,125369.16,628,6.01,0.00,2.69,4.31,6.28,7.93,9.14,9.97
115,870.05,151,0.30876,11.27,43.12,66.91,118.62,178.50,211.27,523.01,125472.23,627,6.02,0.00,2.71,4.33,6.28,7.94,9.14,9.97
116,860.12,138,0.30869,11.27,43.12,66.91,120.01,177.41,211.75,523.01,125781.15,627,6.04,0.06,2.76,4.36,6.31,7.95,9.15,9.97
117,688.53,112,0.30839,11.27,43.12,66.65,121.96,178.00,212.33,523.01,126083.96,627,6.06,0.13,2.79,4.38,6.33,7.95,9.15,9.97
118,940.54,156,0.30829,11.27,43.12,67.39,123.27,178.13,212.55,523.01,126360.80,628,6.06,0.00,2.82,4.39,6.34,7.96,9.16,9.97
119,708.95,119,0.30922,11.27,43.12,67.33,122.08,177.92,212.29,523.01,126416.48,626,6.06,0.00,2.73,4.40,6.34,7.97,9.16,9.97
120,760.04,118,0.31040,11.27,43.36,67.39,123.51,177.16,212.72,523.01,126744.00,623,6.06,0.00,2.74,4.43,6.34,7.98,9.16,9.97
121,716.44,108,0.31114,11.27,43.36,67.79,121.99,177.30,213.39,523.01,126843.71,621,6.05,0.00,2.69,4.45,6.34,7.97,9.16,9.97
122,735.73,125,0.31085,11.27,43.49,67.45,122.45,177.07,214.49,523.01,127032.28,621,6.07,0.00,2.71,4.48,6.36,7.97,9.17,9.97
123,786.91,124,0.31097,11.27,43.36,67.87,122.09,179.12,213.87,523.01,126926.67,621,6.07,0.00,2.72,4.49,6.37,7.99,9.18,9.97
124,771.63,126,0.31217,11.27,42.75,67.39,121.37,178.88,213.54,523.01,126826.48,620,6.07,0.00,2.73,4.50,6.36,7.98,9.18,9.97
125,693.67,114,0.31196,11.27,42.75,67.87,122.19,181.57,213.33,523.01,127189.41,621,6.09,0.04,2.77,4.53,6.39,7.98,9.18,9.97
126,790.36,128,0.31143,11.27,43.23,67.80,122.90,180.89,212.73,523.01,127099.41,622,6.09,0.00,2.79,4.56,6.40,7.99,9.18,9.97
127,850.11,132,0.31095,11.51,43.49,68.02,123.04,180.17,214.15,523.01,127457.65,622,6.11,0.05,2.81,4.59,6.43,8.01,9.19,9.97
128,711.87,115,0.31034,11.51,43.50,68.39,121.30,181.40,213.78,523.01,127528.17,621,6.12,0.00,2.79,4.61,6.44,8.00,9.17,9.97
129,974.17,151,0.31053,11.51,43.49,68.17,122.50,179.11,214.41,523.01,127626.62,620,6.13,0.00,2.80,4.63,6.45,8.00,9.18,9.97
130,909.01,151,0.31028,11.51,43.50,68.17,120.94,179.20,212.98,523.01,127711.60,620,6.14,0.00,2.82,4.64,6.46,8.00,9.19,9.97
131,1096.00,176,0.31168,11.51,43.50,68.17,120.15,179.36,213.45,523.01,127771.70,617,6.12,0.00,2.81,4.66,6.45,8.00,9.18,9.97
132,717.60,117,0.31089,11.51,43.51,68.50,122.94,179.35,213.59,523.01,128117.38,621,6.14,0.03,2.86,4.70,6.47,8.01,9.19,9.97
133,1021.60,171,0.31164,11.51,43.51,68.43,121.78,180.47,213.14,523.01,128445.56,621,6.14,0.00,2.86,4.70,6.50,8.01,9.17,9.97
134,662.92,108,0.31085,11.51,43.51,68.37,123.08,179.64,214.11,523.01,128791.01,621,6.16,0.08,2.91,4.73,6.51,8.02,9.18,9.97
135,989.47,155,0.30986,11.51,43.67,69.01,123.03,179.09,215.44,523.01,129096.57,623,6.18,0.00,2.86,4.76,6.52,8.04,9.18,9.97
136,758.44,121,0.31020,11.51,44.28,69.14,123.07,178.81,216.84,523.01,129206.50,623,6.18,0.00,2.87,4.78,6.54,8.04,9.19,9.97
