iteration,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
43,0.36122,9.34,26.81,43.10,87.71,159.05,195.39,260.68,102163.34,504,4.28,0.01,0.92,1.08,4.64,7.01,8.83,9.98
44,0.36093,9.34,26.94,43.23,87.62,157.64,195.40,261.21,101977.65,501,4.26,0.00,0.93,1.10,4.64,7.00,8.84,9.98
45,0.36007,9.34,26.98,43.23,87.71,157.29,194.54,261.21,101820.21,501,4.26,0.00,0.96,1.12,4.53,7.01,8.84,9.98
46,0.35985,9.34,26.98,43.54,87.62,156.87,193.26,265.24,101414.38,499,4.26,0.00,0.97,1.15,4.46,6.96,8.84,9.98
47,0.35925,9.34,27.00,43.72,86.97,156.94,193.97,264.56,101627.30,499,4.27,0.00,0.99,1.17,4.44,6.97,8.84,9.98
48,0.35931,9.34,27.00,43.73,87.36,157.01,194.18,264.06,101925.21,500,4.28,0.04,1.02,1.20,4.46,6.98,8.85,9.98
49,0.35824,9.34,27.00,43.85,87.71,157.85,195.20,264.31,102206.64,500,4.29,0.00,1.04,1.22,4.43,6.98,8.86,9.98
50,0.35888,9.34,27.08,44.08,87.62,157.42,195.82,271.40,102459.90,500,4.29,0.00,1.06,1.24,4.43,6.97,8.83,9.98
51,0.35936,9.34,27.08,44.02,87.39,157.41,195.77,296.23,102453.82,500,4.29,0.00,1.08,1.27,4.38,6.97,8.83,9.98
52,0.35797,9.34,27.32,44.11,87.49,156.25,195.79,296.23,102223.30,496,4.28,0.00,1.07,1.29,4.29,6.96,8.83,9.98
53,0.35785,9.34,27.33,44.11,87.56,157.64,195.90,296.23,102518.98,496,4.29,0.02,1.10,1.31,4.31,6.97,8.83,9.98
54,0.35810,9.34,27.33,44.11,86.97,159.09,196.17,296.23,102548.64,495,4.30,0.00,1.11,1.33,4.32,6.95,8.83,9.98
55,0.35907,9.34,27.33,44.11,87.36,158.51,197.43,296.23,102816.30,495,4.31,0.00,1.15,1.36,4.30,6.97,8.84,9.98
56,0.35953,9.34,27.33,44.11,87.36,158.26,198.64,296.23,103058.38,497,4.32,0.03,1.16,1.38,4.32,6.97,8.84,9.98
57,0.35998,9.34,27.33,44.11,87.36,157.76,199.07,296.23,103081.22,499,4.33,0.00,1.19,1.41,4.30,6.98,8.84,9.98
58,0.35964,9.34,27.33,44.11,86.30,157.78,198.05,296.23,102783.18,497,4.33,0.00,1.20,1.42,4.30,6.97,8.83,9.98
59,0.36064,9.34,27.33,44.11,85.94,158.79,197.75,296.23,102999.80,496,4.33,0.00,1.22,1.44,4.19,6.96,8.83,9.98
60,0.36087,9.34,27.36,44.11,85.96,159.07,197.04,296.23,103228.70,496,4.34,0.00,1.24,1.47,4.18,6.97,8.83,9.98
61,0.36087,9.34,27.36,44.11,86.97,159.40,197.70,296.23,103456.82,499,4.36,0.03,1.27,1.49,4.20,6.98,8.84,9.98
62,0.35950,9.34,27.61,44.15,87.00,159.10,198.92,296.23,103681.87,499,4.36,0.00,1.28,1.52,4.18,6.97,8.83,9.98
63,0.35916,9.34,27.80,44.16,87.49,159.72,198.84,296.23,103820.08,499,4.37,0.00,1.28,1.54,4.16,6.99,8.83,9.98
64,0.35913,9.34,27.80,44.16,87.36,159.01,199.09,296.23,104052.20,500,4.38,0.02,1.31,1.56,4.18,7.00,8.83,9.98
65,0.35937,9.34,27.80,44.22,87.36,159.68,199.23,296.23,104255.93,499,4.39,0.00,1.32,1.58,4.17,6.97,8.82,9.98
66,0.35926,9.34,27.80,44.54,87.62,160.28,199.40,296.23,104247.62,499,4.40,0.00,1.33,1.60,4.13,6.98,8.82,9.98
67,0.35982,9.34,27.80,44.74,87.68,161.04,198.31,296.23,104457.78,501,4.41,0.05,1.36,1.63,4.13,6.98,8.83,9.98
68,0.35921,9.34,27.81,44.67,88.92,161.61,199.87,296.23,104676.97,500,4.42,0.00,1.38,1.65,4.15,6.98,8.83,9.98
69,0.35916,9.34,27.91,44.74,89.16,160.86,199.77,296.23,104752.54,499,4.42,0.00,1.39,1.67,4.15,6.94,8.82,9.98
70,0.35897,9.34,27.99,45.00,89.16,160.44,199.83,296.23,104963.62,498,4.43,0.00,1.43,1.70,4.13,6.95,8.82,9.98
71,0.35882,9.34,27.99,45.00,89.16,161.59,200.27,296.23,105193.08,498,4.45,0.01,1.45,1.72,4.14,6.96,8.82,9.98
72,0.35900,9.34,27.99,45.45,89.16,162.04,200.39,296.23,105202.38,498,4.46,0.00,1.48,1.74,4.16,6.97,8.83,9.98
73,0.35792,9.34,28.23,46.01,89.27,162.92,201.24,296.23,104965.41,494,4.43,0.00,1.45,1.76,3.94,6.91,8.79,9.98
74,0.35606,9.34,28.50,46.29,91.09,160.31,199.78,342.20,105220.29,492,4.42,0.00,1.46,1.78,3.89,6.88,8.77,9.98
75,0.35533,9.34,28.50,46.60,91.33,161.08,200.09,342.20,105512.84,491,4.43,0.00,1.48,1.80,3.90,6.87,8.77,9.98
76,0.35530,9.34,28.50,46.60,90.67,159.42,200.83,342.20,105774.37,491,4.44,0.03,1.50,1.82,3.91,6.87,8.78,9.98
77,0.35397,9.34,28.58,47.04,90.67,159.33,200.34,342.20,105794.05,490,4.44,0.00,1.51,1.84,3.89,6.87,8.75,9.98
78,0.35333,9.34,28.58,47.05,91.04,161.35,200.72,342.20,106064.14,493,4.45,0.00,1.52,1.86,3.90,6.88,8.75,9.98
79,0.35354,9.34,28.58,47.18,91.04,161.34,199.98,342.20,106310.22,494,4.46,0.03,1.54,1.89,3.92,6.89,8.76,9.98
80,0.35359,9.34,28.58,47.18,90.44,162.29,200.18,342.20,106418.65,494,4.47,0.00,1.56,1.91,3.91,6.90,8.76,9.98
81,0.35366,9.34,28.58,47.18,91.04,162.78,200.62,342.20,106648.15,494,4.49,0.05,1.59,1.93,3.92,6.91,8.76,9.98
82,0.35370,9.34,28.58,47.05,91.13,162.51,200.78,342.20,106866.17,496,4.50,0.07,1.62,1.96,3.94,6.92,8.77,9.98
83,0.35336,9.34,28.58,47.18,91.19,162.77,201.10,342.20,106817.82,496,4.50,0.00,1.63,1.98,3.95,6.92,8.77,9.98
84,0.35359,9.34,28.59,47.24,91.54,163.10,202.47,342.20,107031.33,497,4.52,0.01,1.66,2.00,3.96,6.92,8.77,9.98
85,0.35374,9.34,28.59,47.24,91.33,162.92,202.81,342.20,107238.72,497,4.53,0.04,1.69,2.02,3.97,6.93,8.78,9.98
86,0.35280,9.34,28.59,47.24,92.17,163.29,202.81,342.20,107167.48,496,4.54,0.00,1.67,2.04,3.97,6.93,8.78,9.98
87,0.35268,9.34,28.62,47.24,92.39,163.60,203.42,342.20,107387.44,497,4.55,0.02,1.71,2.07,3.99,6.94,8.78,9.98
88,0.35281,9.34,28.62,47.36,92.39,163.64,204.11,342.20,107594.53,499,4.57,0.04,1.73,2.09,4.02,6.95,8.79,9.98
89,0.35296,9.34,28.66,47.84,92.39,162.81,204.74,342.20,107671.47,499,4.57,0.00,1.75,2.11,4.01,6.96,8.79,9.98
90,0.35324,9.34,28.66,47.36,92.71,164.69,205.36,342.20,107865.18,500,4.59,0.03,1.78,2.13,4.02,6.97,8.80,9.98
91,0.35259,9.34,28.69,48.01,92.82,162.83,205.90,342.20,108049.60,499,4.59,0.00,1.79,2.15,3.97,6.96,8.80,9.98
92,0.35268,9.34,28.69,48.01,92.71,162.86,204.66,342.20,107804.92,497,4.59,0.00,1.77,2.16,3.90,6.97,8.80,9.98
93,0.35131,9.34,28.69,48.69,94.23,161.05,201.72,410.56,108033.81,494,4.58,0.00,1.77,2.18,3.86,6.97,8.78,9.98
94,0.35101,9.34,28.69,48.72,94.23,162.28,205.11,410.56,108302.79,493,4.59,0.00,1.77,2.20,3.88,6.98,8.79,9.98
95,0.35077,9.34,28.76,48.77,93.36,161.60,204.68,410.56,108032.94,490,4.59,0.00,1.74,2.23,3.83,6.98,8.79,9.98
96,0.35170,9.34,28.76,48.77,93.66,162.69,203.81,410.56,108293.14,488,4.58,0.00,1.74,2.25,3.81,6.99,8.79,9.98
97,0.35171,9.34,28.76,48.77,94.23,163.72,203.50,410.56,108570.79,489,4.60,0.03,1.76,2.27,3.83,6.99,8.80,9.98
98,0.35170,9.34,28.82,49.08,94.20,163.27,204.03,410.56,108824.95,489,4.61,0.04,1.78,2.29,3.86,7.00,8.80,9.98
99,0.35061,9.34,28.82,49.68,94.28,162.08,204.04,410.56,109055.26,487,4.61,0.00,1.79,2.31,3.78,7.00,8.80,9.98
100,0.34939,9.34,28.82,49.68,95.97,160.71,203.28,410.56,109304.52,488,4.62,0.00,1.80,2.33,3.78,7.01,8.81,9.98
101,0.34848,9.34,28.82,50.56,95.94,161.69,203.52,410.56,109214.65,489,4.62,0.00,1.80,2.35,3.73,6.98,8.82,9.98
102,0.34781,9.34,28.88,50.79,95.66,162.24,203.80,410.56,109451.72,489,4.63,0.00,1.83,2.37,3.73,6.99,8.82,9.98
103,0.34804,9.34,28.88,50.74,95.78,162.14,204.31,410.56,109692.67,489,4.64,0.02,1.85,2.39,3.75,7.00,8.83,9.98
104,0.34710,9.34,29.51,51.06,95.97,162.15,204.21,410.56,109914.88,488,4.65,0.00,1.85,2.41,3.75,7.00,8.83,9.98
105,0.34687,9.34,29.51,51.06,96.03,162.18,204.40,410.56,110137.33,490,4.66,0.02,1.87,2.43,3.76,7.01,8.83,9.98
106,0.34689,9.34,29.51,51.35,96.03,163.54,204.56,410.56,110344.49,489,4.67,0.00,1.88,2.44,3.79,7.01,8.84,9.98
107,0.34503,9.34,29.61,51.48,98.32,163.85,203.38,410.56,110554.87,487,4.67,0.00,1.88,2.46,3.77,7.01,8.81,9.98
108,0.34519,9.34,29.61,51.48,96.63,164.18,204.79,410.56,110790.18,488,4.68,0.02,1.90,2.48,3.80,7.03,8.81,9.98
109,0.34572,9.34,29.61,51.41,97.62,165.38,202.97,410.56,110991.89,487,4.69,0.00,1.90,2.50,3.73,7.03,8.81,9.98
110,0.34577,9.34,29.61,51.48,97.88,165.32,203.06,410.56,111200.40,486,4.70,0.00,1.91,2.52,3.72,7.04,8.82,9.98
111,0.34466,9.34,29.86,51.85,96.98,165.12,205.23,410.56,111172.62,483,4.69,0.00,1.90,2.54,3.63,7.04,8.80,9.98
112,0.34475,9.34,29.86,51.85,98.09,165.67,206.36,410.56,111416.05,483,4.70,0.01,1.91,2.56,3.64,7.04,8.81,9.98
113,0.34488,9.34,29.86,52.00,98.69,164.83,205.87,410.56,111644.86,483,4.72,0.03,1.94,2.58,3.65,7.05,8.81,9.98
114,0.34547,9.34,29.86,52.00,98.03,165.80,205.87,410.56,111748.55,485,4.72,0.00,1.94,2.60,3.65,7.05,8.79,9.98
115,0.34550,9.34,29.88,52.23,98.03,165.72,207.10,410.56,111957.81,487,4.74,0.03,1.96,2.62,3.66,7.06,8.79,9.98
116,0.34552,9.34,29.88,52.30,98.03,167.03,206.25,410.56,111948.55,488,4.75,0.00,1.98,2.64,3.66,7.06,8.80,9.98
117,0.34416,9.34,30.11,53.61,98.13,167.16,205.01,410.56,111993.52,486,4.74,0.00,1.98,2.66,3.61,7.07,8.80,9.98
118,0.34467,9.34,30.11,52.56,99.30,166.59,205.87,410.56,112211.05,485,4.75,0.00,2.01,2.67,3.50,7.07,8.81,9.98
119,0.34415,9.34,30.11,53.13,98.13,167.03,205.60,410.56,112376.15,485,4.76,0.00,2.01,2.69,3.49,7.08,8.81,9.98
120,0.34397,9.34,30.11,53.05,99.05,167.31,206.08,410.56,112589.67,485,4.77,0.03,2.02,2.72,3.50,7.09,8.81,9.98
121,0.34330,9.34,30.21,53.62,99.56,167.06,207.11,410.56,112794.55,488,4.78,0.00,2.02,2.73,3.50,7.11,8.81,9.98
122,0.34316,9.34,30.27,53.38,99.79,167.16,208.82,410.56,113012.36,491,4.80,0.03,2.05,2.75,3.51,7.11,8.82,9.98
123,0.34289,9.34,30.50,53.60,101.06,166.59,208.67,410.56,113215.63,491,4.81,0.03,2.06,2.77,3.52,7.12,8.82,9.98
124,0.34173,9.34,30.50,54.38,101.39,165.27,208.30,410.56,113411.09,488,4.80,0.00,2.05,2.79,3.27,7.12,8.82,9.98
125,0.34180,9.34,30.50,53.86,101.91,167.17,208.84,410.56,113641.46,489,4.81,0.02,2.07,2.80,3.29,7.12,8.83,9.98
126,0.34157,9.34,30.50,54.30,101.65,167.96,208.82,410.56,113852.38,489,4.83,0.04,2.09,2.83,3.31,7.13,8.83,9.98
127,0.34101,9.34,30.27,54.70,103.57,168.87,208.39,410.56,114055.86,488,4.84,0.00,2.10,2.84,3.25,7.14,8.83,9.98
128,0.34168,9.34,30.27,55.32,103.36,169.32,208.80,410.56,114250.40,487,4.84,0.00,2.11,2.86,3.21,7.14,8.84,9.98
129,0.34156,9.34,30.53,56.42,102.07,169.62,208.13,410.56,114360.48,484,4.83,0.00,2.10,2.87,3.18,7.10,8.83,9.98
130,0.34121,9.34,30.53,56.42,103.23,170.14,208.82,410.56,114599.91,486,4.85,0.01,2.12,2.90,3.21,7.11,8.84,9.98
131,0.34031,9.34,30.99,56.65,102.31,169.36,208.82,410.56,114815.94,483,4.83,0.00,2.12,2.91,3.21,7.11,8.84,9.98
132,0.34024,9.34,31.10,56.98,103.19,169.97,208.10,410.56,115052.63,482,4.84,0.00,2.13,2.93,3.22,7.10,8.84,9.98
133,0.34016,9.34,31.18,57.16,103.57,169.79,209.13,410.56,115283.19,483,4.85,0.04,2.15,2.95,3.25,7.12,8.85,9.98
134,0.34033,9.34,31.32,57.16,103.23,170.77,209.65,410.56,115259.09,483,4.86,0.00,2.15,2.96,3.26,7.12,8.85,9.98
135,0.34042,9.34,31.61,57.63,102.77,169.99,209.76,410.56,115476.45,481,4.86,0.00,2.17,2.98,3.28,7.12,8.85,9.98
136,0.34001,9.34,31.61,57.66,103.32,168.65,209.37,410.56,115479.99,480,4.86,0.00,2.16,3.00,3.29,7.12,8.83,9.98
137,0.33969,9.34,31.61,57.87,104.40,167.69,210.10,410.56,115711.34,480,4.88,0.04,2.19,3.02,3.31,7.12,8.83,9.98
138,0.33874,9.34,31.93,57.99,103.68,167.78,209.92,410.56,115922.89,479,4.88,0.00,2.19,3.04,3.32,7.11,8.84,9.98
139,0.33856,9.34,31.93,57.98,104.57,169.33,210.49,410.56,116153.25,482,4.89,0.01,2.21,3.06,3.35,7.11,8.84,9.98
140,0.33833,9.34,31.98,58.05,104.89,169.11,210.72,410.56,116366.31,482,4.90,0.04,2.22,3.08,3.36,7.11,8.84,9.98
141,0.33873,9.34,31.98,57.99,104.91,169.42,210.68,410.56,116564.42,482,4.92,0.06,2.24,3.09,3.38,7.13,8.85,9.98
142,0.33842,9.34,32.08,57.96,105.87,170.11,209.74,410.56,116718.72,482,4.92,0.00,2.25,3.11,3.40,7.13,8.85,9.98
143,0.33790,9.34,32.08,57.99,105.90,170.01,210.49,410.56,116800.81,482,4.93,0.00,2.27,3.13,3.42,7.12,8.85,9.98
144,0.33764,9.34,32.08,57.99,105.26,170.31,209.83,410.56,116533.76,479,4.92,0.00,2.19,3.15,3.43,7.10,8.84,9.98
145,0.33697,9.34,32.16,58.37,105.90,169.07,210.57,410.56,116748.04,479,4.92,0.00,2.21,3.16,3.44,7.11,8.84,9.98
146,0.33638,9.34,32.44,58.71,105.74,169.36,210.48,410.56,116890.03,480,4.93,0.00,2.23,3.18,3.46,7.11,8.84,9.98
147,0.33585,9.34,32.60,58.74,104.57,168.63,211.69,410.56,116821.33,479,4.93,0.00,2.24,3.20,3.48,7.11,8.85,9.98
148,0.33545,9.34,32.63,58.74,104.35,168.75,210.49,410.56,116973.07,477,4.93,0.00,2.24,3.21,3.49,7.11,8.85,9.98
149,0.33438,9.34,32.63,59.27,105.24,170.14,210.47,410.56,117117.18,476,4.93,0.00,2.24,3.23,3.50,7.11,8.85,9.98
150,0.33489,9.34,32.63,59.14,104.59,169.18,210.83,410.56,117268.45,474,4.92,0.00,2.15,3.24,3.52,7.10,8.86,9.98
151,0.33488,9.34,32.63,58.74,105.78,170.43,210.37,410.56,117463.45,473,4.93,0.00,2.17,3.26,3.54,7.11,8.86,9.98
152,0.33463,9.34,32.60,59.14,106.78,169.93,210.84,410.56,117598.19,472,4.93,0.00,2.18,3.28,3.55,7.11,8.86,9.98
153,0.33477,9.34,32.60,58.74,106.94,170.90,210.49,410.56,117821.49,473,4.95,0.03,2.19,3.30,3.56,7.12,8.87,9.98
154,0.33417,9.34,32.63,59.27,107.79,171.12,210.73,410.56,118032.77,472,4.95,0.00,2.20,3.31,3.58,7.12,8.87,9.98
155,0.33286,9.34,32.75,59.91,107.89,170.51,210.10,410.56,118135.50,472,4.95,0.00,2.17,3.32,3.60,7.12,8.85,9.98
156,0.33272,9.34,32.75,59.70,108.37,169.28,210.16,410.56,118106.55,470,4.95,0.00,2.16,3.34,3.61,7.12,8.84,9.98
157,0.33180,9.34,32.76,59.91,108.51,169.36,210.61,410.56,118267.15,470,4.95,0.00,2.16,3.36,3.63,7.12,8.82,9.98
158,0.33129,9.34,32.76,60.56,108.87,169.76,210.51,410.56,118340.63,471,4.95,0.00,2.13,3.37,3.64,7.13,8.83,9.98
159,0.33251,9.34,33.11,60.20,109.33,168.71,209.91,417.12,118577.63,470,4.95,0.00,2.14,3.39,3.66,7.13,8.83,9.98
160,0.33241,9.34,33.11,60.20,109.61,170.15,210.68,417.12,118815.83,469,4.96,0.00,2.11,3.40,3.67,7.14,8.81,9.98
161,0.33227,9.34,33.11,60.20,109.61,170.69,210.49,417.12,119041.91,470,4.97,0.02,2.13,3.42,3.69,7.14,8.82,9.98
162,0.33186,9.34,33.11,60.56,109.33,171.21,210.29,417.12,119034.26,470,4.98,0.00,2.13,3.44,3.71,7.14,8.82,9.98
163,0.33214,9.34,33.11,60.20,109.61,171.65,210.74,417.12,119259.16,471,4.99,0.05,2.16,3.46,3.72,7.15,8.82,9.98
164,0.33216,9.34,33.11,60.46,109.61,171.12,212.56,417.12,119457.61,471,5.01,0.05,2.19,3.48,3.74,7.15,8.83,9.98
165,0.33044,9.34,33.87,60.56,110.14,170.77,212.56,417.12,119458.88,468,5.00,0.00,2.15,3.49,3.75,7.12,8.83,9.98
166,0.33081,9.34,33.87,60.20,110.02,170.62,212.56,417.12,119681.64,469,5.01,0.01,2.18,3.51,3.77,7.13,8.83,9.98
167,0.33059,9.34,33.87,60.56,110.17,171.22,212.32,417.12,119895.39,470,5.03,0.04,2.21,3.52,3.79,7.14,8.84,9.98
168,0.33024,9.34,34.31,60.64,110.04,171.46,212.56,417.12,119954.27,470,5.02,0.00,2.16,3.54,3.80,7.12,8.84,9.98
169,0.33058,9.34,34.31,60.56,109.61,171.46,212.92,417.12,119736.38,469,5.02,0.00,2.18,3.55,3.82,7.10,8.84,9.98
170,0.33019,9.34,35.27,60.94,109.42,171.80,213.27,417.12,119947.87,468,5.02,0.00,2.20,3.57,3.83,7.11,8.84,9.98
171,0.33070,9.34,35.48,60.64,109.53,171.22,213.37,417.12,119847.11,467,5.01,0.00,2.15,3.58,3.85,7.11,8.85,9.98
172,0.33181,9.34,35.48,60.30,109.12,171.70,214.07,417.12,120098.58,469,5.02,0.00,2.16,3.60,3.86,7.12,8.85,9.98
173,0.33019,9.34,35.76,60.69,109.31,171.92,212.56,417.12,120040.49,466,5.01,0.00,2.12,3.61,3.88,7.07,8.84,9.98
174,0.32975,9.34,35.76,60.64,109.35,172.87,212.82,417.12,120290.73,469,5.02,0.02,2.16,3.63,3.90,7.08,8.85,9.98
175,0.32995,9.34,35.76,60.64,109.33,171.93,212.59,417.12,120309.32,468,5.02,0.00,2.12,3.65,3.91,7.08,8.85,9.98
176,0.33091,9.34,36.14,60.20,109.19,171.84,213.97,417.12,120486.83,465,5.00,0.00,2.08,3.65,3.92,7.07,8.85,9.98
177,0.33083,9.34,36.14,60.69,109.61,172.10,213.53,417.12,120760.68,464,5.01,0.00,2.09,3.67,3.94,7.07,8.86,9.98
178,0.33011,9.34,36.73,60.78,109.12,172.76,212.56,417.12,121023.74,463,5.02,0.00,2.10,3.68,3.96,7.07,8.86,9.98
179,0.32928,9.34,36.98,61.69,108.87,173.13,212.45,417.12,121237.04,462,5.02,0.00,2.09,3.70,3.97,7.08,8.87,9.98
180,0.32908,9.34,36.98,61.76,108.87,173.33,212.20,417.12,121483.36,462,5.04,0.02,2.13,3.71,3.99,7.09,8.87,9.98
181,0.32866,9.34,36.98,62.19,110.17,173.33,213.44,417.12,121711.55,463,5.05,0.05,2.16,3.74,4.00,7.09,8.87,9.98
182,0.32853,9.34,36.98,62.19,110.17,173.85,214.00,417.12,121923.56,464,5.06,0.09,2.18,3.75,4.02,7.11,8.88,9.98
183,0.32882,9.34,36.98,62.19,110.54,174.33,214.74,417.12,122110.31,466,5.08,0.11,2.21,3.77,4.03,7.11,8.88,9.98
184,0.32763,9.34,37.33,62.28,111.25,174.82,213.92,417.12,122284.99,468,5.08,0.00,2.17,3.78,4.05,7.10,8.85,9.98
185,0.32806,9.34,37.33,62.23,111.77,175.48,213.86,417.12,122461.39,468,5.09,0.00,2.18,3.79,4.06,7.09,8.86,9.98
186,0.33006,9.34,36.98,61.93,110.17,174.83,216.92,417.12,122290.73,466,5.07,0.00,2.18,3.81,4.08,7.08,8.85,9.98
