iteration,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
1163,0.23776,21.82,55.66,87.99,124.66,158.96,205.47,364.02,126727.69,810,6.07,0.00,2.72,5.22,6.61,7.43,8.32,8.93
1164,0.23712,21.82,55.66,89.54,124.91,157.81,205.85,364.02,126939.37,810,6.08,0.03,2.74,5.23,6.62,7.44,8.32,8.93
1165,0.23877,21.82,55.03,89.85,125.20,158.91,205.53,364.02,127181.96,808,6.06,0.00,2.72,5.23,6.62,7.43,8.31,8.90
1166,0.23881,21.82,55.03,90.16,125.96,159.70,205.66,364.02,127297.77,807,6.06,0.00,2.73,5.23,6.62,7.43,8.32,8.90
1167,0.23791,21.82,55.44,89.74,126.60,161.01,204.87,364.02,127423.31,809,6.08,0.01,2.76,5.25,6.64,7.44,8.32,8.91
1168,0.23935,21.82,55.03,87.93,125.92,160.97,205.52,364.02,127564.72,809,6.08,0.00,2.70,5.26,6.65,7.44,8.32,8.91
1169,0.24009,21.82,55.66,87.80,125.64,162.18,206.39,364.02,127742.26,807,6.07,0.00,2.71,5.25,6.65,7.44,8.32,8.92
1170,0.23919,21.82,56.12,88.63,126.78,161.52,205.55,364.02,127713.90,804,6.06,0.00,2.67,5.26,6.65,7.44,8.32,8.92
1171,0.23894,21.82,55.03,89.87,127.29,161.16,205.95,364.02,127869.94,804,6.07,0.02,2.69,5.27,6.66,7.45,8.32,8.92
1172,0.23823,21.82,56.12,88.98,127.29,160.18,207.68,364.02,127838.07,803,6.07,0.00,2.67,5.28,6.66,7.45,8.32,8.93
1173,0.23856,21.82,56.12,88.30,127.82,160.52,207.06,364.02,128054.08,802,6.07,0.00,2.64,5.26,6.67,7.45,8.32,8.93
1174,0.23724,21.82,55.66,89.35,127.29,160.10,206.81,364.02,128248.46,801,6.08,0.00,2.62,5.28,6.68,7.46,8.32,8.93
1175,0.23814,21.82,55.55,90.46,127.56,160.70,206.31,364.02,128439.75,800,6.08,0.00,2.62,5.29,6.68,7.46,8.32,8.93
1176,0.23905,21.82,55.15,89.36,127.55,161.22,207.84,364.02,128628.71,799,6.07,0.00,2.62,5.27,6.69,7.47,8.31,8.94
1177,0.23814,21.82,55.15,89.56,127.14,161.57,208.30,364.02,128806.01,802,6.08,0.01,2.63,5.28,6.70,7.47,8.31,8.94
1178,0.23962,21.82,55.03,89.13,127.55,161.63,208.91,364.02,128985.69,802,6.08,0.00,2.65,5.28,6.70,7.47,8.30,8.94
1179,0.23933,21.82,55.15,88.60,128.79,161.74,209.45,364.02,129125.99,803,6.09,0.02,2.65,5.29,6.71,7.47,8.31,8.95
1180,0.23973,21.82,54.50,88.64,128.28,162.12,211.07,364.02,129268.82,803,6.09,0.00,2.65,5.29,6.71,7.48,8.31,8.95
1181,0.23919,21.82,55.03,90.73,128.62,163.23,208.42,364.02,129413.66,802,6.09,0.00,2.63,5.30,6.72,7.49,8.31,8.95
1182,0.23990,21.82,54.45,90.19,128.33,162.69,209.36,364.02,129595.83,801,6.09,0.00,2.64,5.30,6.73,7.49,8.31,8.96
1183,0.23828,21.82,55.66,90.19,128.50,162.99,209.34,364.02,129761.27,800,6.09,0.00,2.67,5.30,6.74,7.50,8.31,8.96
1184,0.23806,21.82,55.66,90.58,128.40,163.29,209.02,364.02,129928.70,802,6.11,0.03,2.68,5.31,6.75,7.51,8.32,8.96
1185,0.23674,21.82,56.21,91.47,129.61,163.53,209.37,364.02,130119.37,802,6.11,0.00,2.68,5.32,6.75,7.50,8.32,8.96
1186,0.23599,21.82,56.24,91.59,130.45,164.72,210.61,364.02,130270.39,804,6.12,0.01,2.71,5.34,6.76,7.50,8.33,8.97
1187,0.23634,21.82,56.21,91.19,130.28,164.22,208.59,364.02,130374.54,805,6.11,0.00,2.72,5.34,6.77,7.51,8.31,8.97
1188,0.23616,21.82,56.22,90.12,130.66,163.25,207.33,364.02,130520.37,804,6.11,0.00,2.72,5.34,6.77,7.51,8.31,8.97
1189,0.23701,21.82,56.49,90.23,130.52,164.41,207.32,364.02,130647.05,807,6.12,0.00,2.71,5.34,6.77,7.51,8.32,8.98
1190,0.23560,21.82,56.70,90.32,130.55,165.15,208.33,364.02,130768.02,806,6.12,0.00,2.70,5.33,6.77,7.51,8.32,8.98
1191,0.23512,21.82,56.22,90.31,131.21,164.68,208.23,364.02,130904.25,805,6.12,0.00,2.70,5.34,6.78,7.52,8.32,8.98
1192,0.23627,21.82,56.70,90.31,131.57,165.68,209.04,364.02,131000.64,806,6.12,0.00,2.70,5.32,6.79,7.52,8.32,8.99
1193,0.23585,21.82,56.70,90.75,132.30,164.44,208.29,364.02,131080.91,807,6.13,0.04,2.72,5.33,6.80,7.52,8.33,8.99
1194,0.23581,21.82,56.93,91.36,132.64,165.66,206.90,364.02,131158.15,809,6.14,0.07,2.73,5.35,6.81,7.53,8.33,8.99
1195,0.23668,21.82,56.53,90.31,132.61,165.29,205.96,364.02,131255.40,807,6.14,0.00,2.74,5.34,6.82,7.53,8.33,8.99
1196,0.23575,21.82,56.53,90.75,133.09,165.56,206.90,364.02,131300.69,806,6.14,0.00,2.69,5.35,6.82,7.54,8.33,9.00
1197,0.23679,21.82,56.22,91.00,133.05,165.99,207.28,441.27,131385.39,805,6.14,0.00,2.70,5.37,6.83,7.54,8.32,8.95
1198,0.23604,21.82,56.22,91.64,133.44,166.35,207.42,388.68,131464.48,806,6.14,0.00,2.72,5.37,6.83,7.54,8.33,8.96
1199,0.23417,21.82,56.22,92.72,133.43,164.04,206.66,364.02,131551.15,805,6.14,0.00,2.69,5.37,6.84,7.54,8.33,8.96
1200,0.23629,21.82,56.12,91.39,132.88,165.22,208.12,365.61,131611.43,806,6.14,0.00,2.68,5.32,6.84,7.54,8.33,8.95
1201,0.23876,21.82,55.15,89.28,132.72,165.86,207.76,364.02,131622.97,802,6.11,0.00,2.65,5.28,6.83,7.53,8.30,8.95
1202,0.23713,21.82,55.15,90.22,132.80,166.06,205.49,364.02,131350.60,802,6.11,0.00,2.67,5.29,6.84,7.54,8.30,8.96
1203,0.23723,21.82,55.03,90.62,132.94,165.50,205.81,364.02,131117.21,802,6.12,0.00,2.61,5.29,6.84,7.55,8.30,8.96
1204,0.23624,21.82,55.03,89.90,133.35,164.09,205.83,364.02,131177.02,802,6.12,0.00,2.60,5.28,6.85,7.55,8.30,8.96
1205,0.23574,21.82,54.81,89.51,133.04,165.46,204.34,364.02,131239.45,802,6.13,0.04,2.62,5.30,6.85,7.56,8.31,8.96
1206,0.23574,21.82,55.03,89.68,133.27,164.96,204.76,364.02,131356.89,802,6.14,0.07,2.64,5.31,6.86,7.56,8.31,8.97
1207,0.23598,21.82,55.03,89.60,133.08,165.63,205.20,364.02,131428.03,802,6.14,0.00,2.65,5.32,6.87,7.57,8.31,8.97
1208,0.23647,21.82,55.03,89.67,133.49,166.18,205.53,364.02,131561.67,804,6.15,0.05,2.68,5.32,6.88,7.58,8.32,8.97
1209,0.23553,21.82,55.15,89.46,133.67,166.85,205.70,364.02,131709.62,804,6.16,0.08,2.71,5.34,6.89,7.59,8.33,8.98
1210,0.23578,21.82,55.03,90.13,134.04,167.03,204.94,397.21,131864.06,803,6.17,0.00,2.71,5.34,6.89,7.59,8.32,8.98
1211,0.23847,21.82,55.03,90.43,134.67,167.26,205.72,397.21,132037.61,801,6.16,0.00,2.64,5.32,6.90,7.59,8.31,8.98
1212,0.23833,21.82,55.15,91.28,134.43,167.31,207.14,397.21,132165.01,801,6.16,0.00,2.65,5.31,6.90,7.59,8.32,8.98
1213,0.23869,21.82,55.15,90.29,133.62,166.85,206.81,397.21,132270.12,802,6.16,0.00,2.64,5.32,6.92,7.60,8.32,8.99
1214,0.23875,21.82,55.03,90.19,134.50,167.25,205.95,397.21,132273.20,802,6.16,0.00,2.64,5.33,6.91,7.60,8.31,8.99
1215,0.23685,21.82,55.03,90.48,134.90,168.01,205.09,397.21,132290.65,801,6.16,0.00,2.64,5.34,6.91,7.60,8.29,8.99
1216,0.23526,21.82,54.45,91.10,135.30,168.10,203.27,397.21,132043.61,799,6.14,0.00,2.64,5.33,6.90,7.60,8.28,8.99
1217,0.23388,21.82,54.45,91.42,135.70,167.29,202.50,397.21,132035.21,801,6.15,0.03,2.66,5.35,6.90,7.61,8.29,9.00
1218,0.23539,21.82,54.42,91.12,136.35,167.06,204.65,397.21,132045.43,801,6.16,0.00,2.66,5.36,6.91,7.61,8.27,9.00
1219,0.23479,21.82,54.41,90.19,136.00,167.05,204.37,397.21,132070.63,801,6.17,0.02,2.67,5.36,6.92,7.61,8.28,9.00
1220,0.23678,21.82,54.41,89.68,135.71,167.19,204.59,397.21,132143.44,798,6.15,0.00,2.63,5.34,6.92,7.61,8.26,9.01
1221,0.23768,21.82,54.41,88.32,136.46,167.90,206.30,397.21,132163.78,799,6.15,0.00,2.63,5.26,6.93,7.61,8.26,9.01
1222,0.23634,21.82,54.33,89.13,137.31,168.08,206.41,397.21,132179.29,799,6.16,0.04,2.64,5.28,6.94,7.61,8.27,9.01
1223,0.23567,21.82,54.33,90.31,137.69,168.57,204.74,397.21,132241.04,798,6.16,0.00,2.62,5.26,6.94,7.62,8.27,9.01
1224,0.23684,21.82,54.10,88.69,138.33,167.59,204.00,397.21,132130.47,796,6.15,0.00,2.57,5.25,6.95,7.60,8.27,9.01
1225,0.23585,21.82,54.32,88.69,137.57,166.70,202.84,397.21,132137.60,797,6.16,0.01,2.60,5.27,6.95,7.61,8.28,9.01
1226,0.23544,21.82,54.10,89.68,137.58,166.75,201.99,397.21,132195.38,798,6.17,0.04,2.62,5.29,6.96,7.61,8.28,9.02
1227,0.23609,21.82,54.41,89.36,138.21,167.34,201.97,421.01,132297.74,794,6.15,0.00,2.53,5.21,6.95,7.59,8.24,9.02
1228,0.23458,21.82,54.41,88.07,138.33,167.04,201.70,397.21,132374.60,795,6.16,0.01,2.54,5.22,6.96,7.60,8.24,9.03
1229,0.23348,21.82,54.33,88.67,137.76,168.18,202.84,397.21,132459.13,796,6.17,0.04,2.56,5.24,6.97,7.61,8.25,9.03
1230,0.23483,21.82,54.33,87.98,137.66,169.42,202.68,397.21,132610.96,794,6.15,0.00,2.48,5.18,6.97,7.60,8.24,9.02
1231,0.23324,21.82,54.45,88.38,138.16,168.55,203.74,397.21,132700.94,794,6.15,0.00,2.49,5.17,6.97,7.61,8.23,9.02
1232,0.23299,21.82,54.45,87.67,138.60,168.47,199.95,397.21,132566.99,791,6.13,0.00,2.39,5.15,6.97,7.61,8.22,8.95
1233,0.23147,21.82,54.45,89.01,138.65,168.52,201.57,397.21,132637.48,792,6.14,0.02,2.41,5.16,6.98,7.62,8.22,8.96
1234,0.23179,21.82,55.03,88.54,138.23,169.40,200.66,397.21,132725.11,792,6.15,0.04,2.44,5.17,6.99,7.62,8.22,8.96
1235,0.23179,21.82,55.15,88.49,137.89,168.94,200.80,397.21,132855.53,791,6.15,0.00,2.38,5.17,7.00,7.63,8.22,8.91
1236,0.23108,21.82,55.15,87.82,138.16,170.14,201.89,397.21,132985.77,794,6.16,0.01,2.42,5.17,7.00,7.63,8.23,8.91
1237,0.23181,21.82,55.03,87.84,139.28,169.22,200.19,397.21,133136.34,793,6.17,0.00,2.41,5.18,7.01,7.64,8.23,8.92
1238,0.23190,21.82,55.13,88.32,139.40,170.65,201.12,397.21,133253.06,793,6.18,0.03,2.42,5.20,7.01,7.64,8.23,8.92
1239,0.23202,21.82,55.58,88.53,139.81,169.44,203.13,397.21,133414.38,795,6.18,0.00,2.40,5.21,7.02,7.65,8.24,8.92
1240,0.23066,21.82,55.65,89.16,140.95,169.68,203.06,397.21,133554.45,796,6.19,0.04,2.43,5.22,7.03,7.65,8.24,8.92
1241,0.23029,21.82,55.15,89.56,141.78,169.90,201.72,397.21,133725.26,798,6.20,0.05,2.46,5.23,7.04,7.66,8.24,8.93
1242,0.23090,21.82,55.24,89.93,140.74,170.60,201.77,397.21,133858.57,798,6.21,0.09,2.47,5.25,7.04,7.67,8.25,8.93
1243,0.23138,21.82,55.35,89.61,141.08,170.14,201.81,397.21,134036.80,798,6.22,0.10,2.47,5.26,7.05,7.68,8.25,8.93
1244,0.23107,21.82,55.65,90.53,141.74,170.16,201.39,397.21,134234.96,799,6.22,0.00,2.48,5.27,7.06,7.68,8.26,8.93
1245,0.23080,21.82,55.65,90.07,141.20,171.51,203.05,397.21,134391.49,804,6.22,0.00,2.43,5.27,7.06,7.68,8.25,8.93
1246,0.23054,21.82,55.65,90.42,141.44,170.91,201.30,397.21,134515.16,805,6.23,0.03,2.43,5.28,7.07,7.69,8.26,8.94
1247,0.23214,21.82,55.34,88.70,141.96,170.84,201.85,397.21,134445.99,802,6.21,0.00,2.42,5.28,7.07,7.67,8.24,8.87
1248,0.23185,21.82,55.34,89.68,142.60,170.52,200.60,397.21,134513.78,801,6.21,0.00,2.42,5.26,7.08,7.68,8.24,8.87
1249,0.23140,21.82,55.65,89.56,142.44,171.16,201.92,397.21,134604.93,801,6.22,0.03,2.43,5.27,7.08,7.68,8.25,8.87
1250,0.23146,21.82,56.12,87.39,142.77,171.16,202.04,397.21,134729.74,802,6.23,0.04,2.46,5.28,7.09,7.69,8.25,8.88
1251,0.23103,21.82,56.12,87.25,142.98,171.66,200.59,397.21,134876.23,802,6.24,0.09,2.48,5.31,7.10,7.70,8.26,8.88
1252,0.23032,21.82,56.15,89.68,143.53,171.83,202.35,397.21,135046.54,802,6.24,0.00,2.41,5.29,7.10,7.70,8.26,8.89
1253,0.23088,21.82,56.12,90.74,143.88,171.66,202.61,397.21,135206.75,803,6.25,0.01,2.42,5.30,7.11,7.70,8.26,8.89
1254,0.23076,21.82,55.92,91.86,142.92,172.76,201.78,397.21,135380.53,803,6.26,0.04,2.45,5.32,7.12,7.71,8.27,8.89
1255,0.23073,21.82,56.14,91.64,143.65,172.54,203.11,397.21,135568.96,804,6.27,0.09,2.46,5.34,7.13,7.72,8.28,8.89
1256,0.23126,21.82,56.14,92.50,143.55,173.26,203.61,397.21,135761.92,804,6.28,0.00,2.49,5.35,7.13,7.73,8.28,8.90
1257,0.23119,21.82,55.69,92.25,143.11,175.10,202.86,397.21,135927.29,803,6.28,0.00,2.48,5.35,7.14,7.72,8.27,8.90
1258,0.23038,21.82,56.12,92.08,144.01,173.85,201.48,397.21,136108.59,802,6.28,0.00,2.49,5.35,7.14,7.73,8.26,8.90
1259,0.23059,21.82,56.12,91.45,144.72,174.23,201.40,397.21,136283.79,803,6.29,0.01,2.50,5.36,7.15,7.73,8.27,8.90
1260,0.23062,21.82,56.15,91.01,145.57,173.72,203.94,397.21,136489.60,802,6.28,0.00,2.52,5.34,7.15,7.73,8.27,8.91
1261,0.23226,21.82,56.15,89.91,145.13,174.19,203.14,442.57,136440.57,801,6.27,0.00,2.51,5.34,7.15,7.73,8.25,8.91
1262,0.23194,21.82,56.22,90.16,145.91,175.21,201.78,397.21,136597.16,800,6.27,0.00,2.44,5.31,7.15,7.73,8.24,8.92
1263,0.23085,21.82,56.53,90.36,146.30,174.17,202.50,397.21,136714.89,801,6.27,0.00,2.45,5.30,7.15,7.74,8.24,8.92
1264,0.23060,21.82,56.15,89.68,145.97,173.99,203.58,397.21,136882.66,801,6.28,0.03,2.48,5.31,7.16,7.74,8.24,8.92
1265,0.23025,21.82,56.22,89.68,146.27,174.50,202.91,397.21,137081.03,802,6.29,0.04,2.49,5.32,7.18,7.75,8.25,8.92
1266,0.23077,21.82,56.22,90.29,145.59,174.88,203.58,397.21,137286.53,803,6.29,0.00,2.48,5.33,7.17,7.76,8.24,8.92
1267,0.23085,21.82,56.22,89.68,146.58,175.09,203.62,397.21,137503.62,804,6.28,0.00,2.43,5.32,7.17,7.76,8.25,8.92
1268,0.23178,21.82,56.59,90.09,146.74,175.94,204.05,397.21,137648.21,803,6.28,0.00,2.38,5.31,7.17,7.76,8.25,8.93
1269,0.23001,21.82,56.82,91.07,146.90,175.01,203.96,397.21,137793.72,804,6.29,0.01,2.41,5.32,7.19,7.77,8.25,8.93
1270,0.22972,21.82,56.82,89.93,146.85,174.08,204.15,397.21,137926.59,803,6.29,0.00,2.42,5.29,7.19,7.77,8.26,8.94
1271,0.22946,21.82,56.53,89.68,147.31,175.07,204.75,397.21,138074.25,803,6.30,0.04,2.44,5.30,7.19,7.78,8.26,8.94
1272,0.23025,21.82,56.82,89.99,147.46,176.42,206.48,397.21,138211.92,803,6.31,0.06,2.46,5.32,7.20,7.79,8.27,8.94
1273,0.23020,21.82,56.82,90.56,147.10,175.66,206.73,397.21,138379.33,802,6.29,0.00,2.46,5.28,7.20,7.78,8.26,8.95
1274,0.22929,21.82,56.92,91.46,148.23,175.94,206.47,397.21,138531.12,802,6.30,0.04,2.47,5.30,7.21,7.79,8.27,8.95
1275,0.22857,21.82,56.82,91.95,148.96,176.10,206.03,397.21,138708.07,802,6.31,0.06,2.49,5.31,7.22,7.79,8.27,8.95
1276,0.22882,21.82,56.73,90.44,149.40,175.25,206.81,397.21,138887.88,802,6.32,0.08,2.52,5.33,7.23,7.80,8.27,8.96
1277,0.22841,21.82,56.87,91.06,149.20,176.23,207.73,397.21,139087.82,803,6.33,0.11,2.54,5.34,7.23,7.81,8.28,8.96
1278,0.22914,21.82,56.70,91.35,149.84,177.30,206.95,397.21,139250.38,803,6.33,0.00,2.55,5.28,7.23,7.81,8.27,8.96
1279,0.22906,21.82,56.92,91.53,149.30,177.10,206.77,333.19,139178.09,801,6.31,0.00,2.51,5.22,7.22,7.80,8.27,8.97
1280,0.22828,21.82,56.92,91.78,149.43,178.01,206.07,308.97,139021.65,802,6.31,0.00,2.51,5.23,7.23,7.80,8.27,8.97
1281,0.22793,21.82,56.73,91.81,149.88,177.80,204.51,308.97,138939.13,802,6.31,0.00,2.49,5.22,7.23,7.80,8.28,8.96
1282,0.22709,21.82,56.92,92.26,148.55,178.80,205.70,308.97,139035.54,804,6.32,0.01,2.53,5.22,7.24,7.81,8.28,8.96
1283,0.22756,21.82,56.82,91.07,149.67,179.25,206.76,331.30,139182.18,803,6.32,0.00,2.54,5.23,7.24,7.81,8.28,8.97
1284,0.22660,21.82,57.13,91.75,149.52,178.43,206.05,308.97,139321.98,804,6.33,0.01,2.56,5.24,7.25,7.82,8.29,8.97
1285,0.22611,21.82,57.00,91.63,151.07,177.60,205.62,308.97,139456.07,803,6.32,0.00,2.53,5.24,7.25,7.82,8.29,8.98
1286,0.22541,21.82,56.73,91.44,151.21,177.41,203.81,308.97,139587.42,803,6.32,0.00,2.50,5.24,7.25,7.82,8.29,8.98
1287,0.22470,21.82,56.92,91.28,151.25,177.42,204.34,308.97,139635.91,801,6.32,0.00,2.50,5.24,7.26,7.83,8.28,8.98
1288,0.22599,21.82,57.26,91.74,150.24,178.01,204.30,308.97,139770.08,798,6.30,0.00,2.44,5.20,7.26,7.83,8.28,8.98
1289,0.22547,21.82,57.26,92.05,150.32,179.11,203.82,308.97,139870.87,798,6.29,0.00,2.41,5.19,7.26,7.83,8.28,8.98
1290,0.22617,21.82,57.67,92.30,150.89,178.29,205.84,409.14,139956.21,796,6.29,0.00,2.33,5.20,7.26,7.83,8.28,8.99
1291,0.22586,21.82,57.91,92.85,151.88,178.34,207.15,353.85,139985.37,799,6.30,0.02,2.35,5.20,7.28,7.84,8.28,8.99
1292,0.22664,21.82,57.62,94.32,151.17,179.11,206.80,309.70,139879.83,799,6.30,0.00,2.36,5.20,7.27,7.84,8.29,8.99
1293,0.22567,21.82,57.38,93.32,151.14,180.06,207.09,308.97,139960.09,801,6.31,0.04,2.39,5.21,7.28,7.85,8.29,9.00
1294,0.22481,21.82,57.67,93.74,150.86,179.89,206.74,308.97,140036.02,801,6.32,0.06,2.41,5.23,7.29,7.85,8.29,9.00
1295,0.22635,21.82,57.67,93.68,151.01,179.88,205.81,334.64,140135.76,800,6.31,0.00,2.41,5.21,7.30,7.86,8.29,9.01
1296,0.22548,21.82,57.67,94.53,151.27,179.71,206.43,334.64,140192.99,800,6.31,0.00,2.42,5.22,7.30,7.87,8.29,9.01
1297,0.22530,21.82,57.91,94.30,151.48,178.91,206.66,334.64,140233.61,800,6.31,0.00,2.42,5.21,7.30,7.87,8.29,9.01
1298,0.22655,21.82,57.93,91.95,150.40,179.22,207.09,372.11,140304.71,799,6.31,0.00,2.44,5.22,7.31,7.88,8.30,9.01
1299,0.22550,21.82,57.93,91.97,150.90,179.64,207.29,334.64,140377.54,796,6.29,0.00,2.34,5.18,7.30,7.88,8.30,9.02
1300,0.22452,21.82,57.91,91.95,150.73,179.19,206.76,334.64,140456.57,796,6.29,0.00,2.36,5.19,7.30,7.88,8.30,9.02
1301,0.22461,21.82,57.67,92.46,151.88,179.72,206.53,334.64,140318.54,795,6.29,0.00,2.35,5.19,7.30,7.88,8.30,9.02
1302,0.22489,21.82,57.93,92.68,152.63,179.69,207.18,334.64,140401.24,795,6.29,0.00,2.34,5.20,7.30,7.89,8.30,9.02
1303,0.22567,21.82,57.93,91.55,151.93,180.15,205.94,334.64,140500.62,794,6.29,0.00,2.33,5.19,7.31,7.89,8.30,9.02
1304,0.22631,21.82,57.93,91.95,153.65,181.19,207.51,334.64,140585.94,793,6.29,0.00,2.29,5.20,7.32,7.90,8.30,9.03
1305,0.22694,21.82,57.93,91.57,152.37,181.86,205.86,334.64,140522.35,793,6.29,0.00,2.31,5.21,7.32,7.90,8.30,9.03
1306,0.22642,21.82,57.93,89.89,152.29,182.05,206.35,334.64,140431.23,793,6.29,0.00,2.29,5.16,7.32,7.90,8.30,9.03
1307,0.22606,21.82,57.67,90.28,152.09,182.44,204.10,334.64,140576.15,794,6.28,0.00,2.29,5.14,7.32,7.91,8.30,9.03
1308,0.22574,21.82,57.91,90.81,153.35,182.06,204.25,334.64,140645.95,794,6.29,0.01,2.32,5.16,7.33,7.91,8.30,9.03
1309,0.22709,21.82,57.26,90.85,151.95,182.30,205.23,334.64,140538.97,792,6.28,0.00,2.32,5.13,7.33,7.91,8.31,9.03
1310,0.22784,21.82,57.68,90.12,152.29,182.66,205.75,334.64,140452.74,792,6.28,0.00,2.34,5.14,7.34,7.92,8.31,9.04
1311,0.22818,21.82,57.38,90.17,152.61,183.46,207.06,334.64,140629.51,790,6.28,0.00,2.32,5.08,7.34,7.92,8.30,9.04
1312,0.22872,21.82,57.38,89.73,152.47,183.32,205.33,351.38,140563.13,788,6.27,0.00,2.28,5.07,7.34,7.93,8.31,9.05
1313,0.22838,21.82,57.38,89.61,152.24,183.41,205.35,334.64,140712.90,789,6.28,0.01,2.30,5.09,7.35,7.93,8.31,9.05
1314,0.22924,21.82,57.51,88.45,153.71,182.18,206.35,369.36,140869.57,789,6.28,0.00,2.32,5.09,7.35,7.94,8.30,9.05
1315,0.22931,21.82,57.67,88.33,153.79,181.95,207.19,334.64,141015.49,790,6.29,0.01,2.35,5.10,7.35,7.94,8.31,9.05
1316,0.23001,21.82,57.38,86.99,153.96,182.34,207.76,334.64,140941.01,788,6.28,0.00,2.33,5.10,7.35,7.94,8.31,9.06
1317,0.23191,21.82,57.38,86.68,152.90,182.59,209.59,437.09,141095.40,786,6.28,0.00,2.33,5.07,7.36,7.94,8.31,9.06
1318,0.23121,21.82,57.26,86.73,152.89,183.09,209.37,385.18,141216.18,787,6.29,0.01,2.34,5.08,7.36,7.95,8.32,9.06
1319,0.23018,21.82,57.26,88.33,153.25,182.86,208.04,343.72,141154.59,785,6.28,0.00,2.34,5.01,7.36,7.94,8.32,9.06
1320,0.22936,21.82,57.38,87.52,153.84,183.03,208.24,334.64,141309.24,787,6.29,0.02,2.36,5.02,7.37,7.95,8.32,9.06
1321,0.22838,21.82,57.91,88.33,155.33,182.87,208.10,334.64,141469.74,786,6.28,0.00,2.34,5.01,7.37,7.95,8.32,9.07
1322,0.22882,21.82,57.83,88.44,154.94,183.67,207.50,334.64,141406.94,787,6.29,0.00,2.36,5.01,7.38,7.95,8.33,9.07
1323,0.22843,21.82,57.70,88.98,155.25,184.08,207.64,334.64,141586.01,787,6.30,0.04,2.39,5.02,7.38,7.96,8.33,9.07
1324,0.22885,21.82,57.38,89.75,155.49,184.15,208.14,334.64,141786.21,788,6.31,0.06,2.40,5.04,7.39,7.96,8.34,9.07
1325,0.22847,21.82,57.91,90.26,155.49,184.56,209.71,334.64,142011.79,789,6.32,0.07,2.43,5.06,7.40,7.97,8.34,9.07
1326,0.22995,25.71,57.91,89.77,154.95,184.94,210.35,334.64,142229.92,789,6.31,0.00,2.43,5.03,7.39,7.97,8.34,9.07
1327,0.23089,25.71,57.38,88.63,154.61,186.97,208.98,334.64,142360.96,791,6.31,0.00,2.43,5.03,7.39,7.98,8.33,9.08
1328,0.22997,25.71,57.26,88.22,155.43,187.16,208.05,334.64,142225.73,791,6.31,0.00,2.46,5.01,7.39,7.98,8.33,9.08
1329,0.23049,25.71,57.93,88.63,155.43,186.54,208.38,334.64,142362.94,790,6.30,0.00,2.40,5.01,7.40,7.98,8.34,9.08
1330,0.23147,25.71,57.91,88.63,155.82,186.86,208.37,428.53,142578.74,789,6.30,0.00,2.41,5.01,7.39,7.99,8.34,9.08
1331,0.23232,25.71,57.67,87.26,156.06,186.87,209.02,376.12,142319.64,787,6.28,0.00,2.38,5.02,7.40,7.99,8.34,9.09
1332,0.23143,25.71,57.93,86.71,155.88,186.77,208.48,334.64,142326.94,788,6.28,0.00,2.39,5.03,7.39,7.99,8.35,9.09
1333,0.23247,25.71,57.67,87.32,157.77,186.79,207.89,340.74,142493.21,786,6.28,0.00,2.40,5.03,7.38,8.00,8.34,9.09
1334,0.23310,25.71,57.38,87.23,157.41,186.52,208.24,334.64,142590.14,785,6.28,0.00,2.24,5.03,7.38,8.00,8.35,8.94
1335,0.23275,25.71,57.67,87.85,157.81,186.60,208.66,334.64,142684.83,785,6.28,0.00,2.25,5.05,7.39,8.01,8.35,8.94
1336,0.23162,25.71,57.82,88.89,157.62,187.73,208.77,334.64,142769.80,784,6.27,0.00,2.21,5.04,7.39,8.01,8.35,8.95
1337,0.23096,25.71,57.91,88.33,159.29,187.56,208.38,334.64,142833.45,785,6.28,0.02,2.24,5.06,7.40,8.01,8.35,8.95
1338,0.23037,25.71,57.67,89.39,157.99,188.20,208.77,334.64,142928.57,786,6.29,0.05,2.27,5.08,7.41,8.02,8.36,8.95
1339,0.23054,25.71,57.66,88.33,157.12,188.02,209.68,334.64,142827.48,785,6.29,0.00,2.22,5.06,7.41,8.03,8.36,8.96
1340,0.23030,25.71,57.91,88.13,158.16,187.81,209.48,334.64,142999.31,785,6.30,0.03,2.25,5.07,7.42,8.03,8.36,8.96
1341,0.23092,25.71,57.67,88.17,157.84,187.42,210.28,334.64,143193.53,786,6.31,0.08,2.29,5.07,7.42,8.04,8.37,8.96
1342,0.23069,25.71,57.91,89.03,158.45,187.81,210.18,334.64,143392.38,787,6.32,0.10,2.33,5.09,7.43,8.05,8.37,8.96
1343,0.23043,25.71,57.91,89.51,157.97,188.26,209.91,334.64,143613.78,787,6.33,0.11,2.34,5.11,7.44,8.05,8.37,8.96
1344,0.23060,25.71,57.93,89.29,158.87,189.12,211.06,334.64,143847.60,788,6.35,0.12,2.37,5.12,7.44,8.06,8.38,8.97
1345,0.23139,25.71,57.67,90.80,157.91,189.69,211.52,334.64,144062.14,789,6.35,0.00,2.34,5.13,7.45,8.06,8.38,8.97
1346,0.23153,27.67,57.91,90.03,158.66,190.08,210.93,334.64,144263.05,789,6.36,0.02,2.35,5.14,7.46,8.06,8.39,8.97
1347,0.23055,27.67,58.24,88.63,159.14,189.95,211.10,334.64,144491.79,789,6.37,0.07,2.38,5.16,7.46,8.07,8.39,8.97
